episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit
1,0.86,2,0,21,19,10.0,8.6,38.095238095238095,14.285714285714285,28.57142857142857,19.047619047619047
2,0.768,5,0,31,26,10.0,7.68,35.483870967741936,29.03225806451613,16.129032258064516,19.35483870967742
3,0.639,10,0,30,20,10.0,6.39,30.0,16.666666666666664,33.33333333333333,20.0
4,0.76,4,0,27,23,10.0,7.6,37.03703703703704,18.51851851851852,11.11111111111111,33.33333333333333
5,0.76,3,0,24,21,10.0,7.6,25.0,12.5,25.0,37.5
6,0.682,7,0,30,23,10.0,6.82,16.666666666666664,20.0,30.0,33.33333333333333
7,0.775,4,0,23,19,10.0,7.75,30.434782608695656,21.73913043478261,17.391304347826086,30.434782608695656
8,0.75,3,0,22,19,10.0,7.5,31.818181818181817,31.818181818181817,13.636363636363635,22.727272727272727
9,0.665,4,0,18,14,10.0,6.65,33.33333333333333,11.11111111111111,22.22222222222222,33.33333333333333
10,0.824,4,0,37,33,10.0,8.24,27.027027027027028,27.027027027027028,27.027027027027028,18.91891891891892
11,0.822,4,0,28,24,10.0,8.22,10.714285714285714,25.0,42.857142857142854,21.428571428571427
12,0.83,3,0,13,10,10.0,8.3,15.384615384615385,30.76923076923077,38.46153846153847,15.384615384615385
13,0.718,8,0,21,13,10.0,7.18,33.33333333333333,33.33333333333333,23.809523809523807,9.523809523809524
14,0.74,7,0,28,21,10.0,7.4,21.428571428571427,39.285714285714285,17.857142857142858,21.428571428571427
15,0.743,7,0,32,25,10.0,7.43,15.625,28.125,28.125,28.125
16,0.72,4,0,27,23,10.0,7.2,29.629629629629626,22.22222222222222,37.03703703703704,11.11111111111111
17,0.71,4,0,25,21,10.0,7.1,16.0,28.000000000000004,32.0,24.0
18,0.772,5,0,27,22,10.0,7.72,25.925925925925924,25.925925925925924,25.925925925925924,22.22222222222222
19,0.64,6,0,35,29,10.0,6.4,17.142857142857142,14.285714285714285,34.285714285714285,34.285714285714285
20,0.723,5,0,25,20,10.0,7.23,32.0,8.0,44.0,16.0
21,0.8,3,0,18,15,10.0,8.0,27.77777777777778,44.44444444444444,11.11111111111111,16.666666666666664
22,0.565,9,0,28,19,10.0,5.65,21.428571428571427,35.714285714285715,17.857142857142858,25.0
23,0.652,8,0,31,23,10.0,6.52,29.03225806451613,22.58064516129032,19.35483870967742,29.03225806451613
24,0.729,5,0,25,20,10.0,7.29,16.0,20.0,28.000000000000004,36.0
25,0.89,2,0,22,20,10.0,8.9,40.909090909090914,27.27272727272727,4.545454545454546,27.27272727272727
26,0.675,5,0,21,16,10.0,6.75,23.809523809523807,28.57142857142857,33.33333333333333,14.285714285714285
27,0.75,3,0,16,13,10.0,7.5,25.0,12.5,31.25,31.25
28,0.68,5,0,28,23,10.0,6.8,17.857142857142858,21.428571428571427,35.714285714285715,25.0
29,0.69,4,0,28,24,10.0,6.9,28.57142857142857,21.428571428571427,35.714285714285715,14.285714285714285
30,0.81,5,0,23,18,10.0,8.1,21.73913043478261,13.043478260869565,21.73913043478261,43.47826086956522
31,0.68,6,0,28,22,10.0,6.8,10.714285714285714,25.0,28.57142857142857,35.714285714285715
32,0.76,5,0,30,25,10.0,7.6,40.0,13.333333333333334,23.333333333333332,23.333333333333332
33,0.51,6,0,18,12,10.0,5.1,16.666666666666664,16.666666666666664,38.88888888888889,27.77777777777778
34,0.7,7,0,28,21,10.0,7.0,28.57142857142857,17.857142857142858,25.0,28.57142857142857
35,0.624,7,0,23,16,10.0,6.24,17.391304347826086,17.391304347826086,39.130434782608695,26.08695652173913
36,0.696,7,0,28,21,10.0,6.96,46.42857142857143,17.857142857142858,25.0,10.714285714285714
37,0.676,8,0,33,25,10.0,6.76,33.33333333333333,24.242424242424242,15.151515151515152,27.27272727272727
38,0.704,5,0,27,22,10.0,7.04,7.4074074074074066,29.629629629629626,33.33333333333333,29.629629629629626
39,0.674,5,0,21,16,10.0,6.74,19.047619047619047,23.809523809523807,14.285714285714285,42.857142857142854
40,0.63,6,0,23,17,10.0,6.3,21.73913043478261,26.08695652173913,30.434782608695656,21.73913043478261
41,0.754,5,0,21,16,10.0,7.54,28.57142857142857,42.857142857142854,9.523809523809524,19.047619047619047
42,0.7,6,0,27,21,10.0,7.0,18.51851851851852,29.629629629629626,25.925925925925924,25.925925925925924
43,0.82,2,0,21,19,10.0,8.2,14.285714285714285,28.57142857142857,42.857142857142854,14.285714285714285
44,0.774,5,0,31,26,10.0,7.74,35.483870967741936,19.35483870967742,35.483870967741936,9.67741935483871
45,0.66,5,0,27,22,10.0,6.6,33.33333333333333,22.22222222222222,25.925925925925924,18.51851851851852
46,0.796,3,0,32,29,10.0,7.96,18.75,25.0,34.375,21.875
47,0.68,6,0,25,19,10.0,6.8,28.000000000000004,28.000000000000004,20.0,24.0
48,0.836,3,0,32,29,10.0,8.36,18.75,28.125,25.0,28.125
49,0.63,5,0,19,14,10.0,6.3,15.789473684210526,42.10526315789473,15.789473684210526,26.31578947368421
50,0.736,7,0,34,27,10.0,7.36,29.411764705882355,23.52941176470588,23.52941176470588,23.52941176470588
51,0.78,3,0,27,24,10.0,7.8,22.22222222222222,18.51851851851852,14.814814814814813,44.44444444444444
52,0.868,4,0,27,23,10.0,8.68,29.629629629629626,18.51851851851852,40.74074074074074,11.11111111111111
53,0.76,4,0,23,19,10.0,7.6,34.78260869565217,26.08695652173913,21.73913043478261,17.391304347826086
54,0.7,7,0,24,17,10.0,7.0,16.666666666666664,29.166666666666668,16.666666666666664,37.5
55,0.73,7,0,26,19,10.0,7.3,30.76923076923077,34.61538461538461,19.230769230769234,15.384615384615385
56,0.725,3,0,25,22,10.0,7.25,36.0,28.000000000000004,12.0,24.0
57,0.74,5,0,22,17,10.0,7.4,22.727272727272727,22.727272727272727,36.36363636363637,18.181818181818183
58,0.632,7,0,26,19,10.0,6.32,19.230769230769234,57.692307692307686,11.538461538461538,11.538461538461538
59,0.74,9,0,33,24,10.0,7.4,33.33333333333333,12.121212121212121,27.27272727272727,27.27272727272727
60,0.76,3,0,20,17,10.0,7.6,35.0,20.0,20.0,25.0
61,0.68,5,0,25,20,10.0,6.8,44.0,24.0,16.0,16.0
62,0.76,4,0,25,21,10.0,7.6,16.0,20.0,36.0,28.000000000000004
63,0.672,6,0,22,16,10.0,6.72,50.0,22.727272727272727,18.181818181818183,9.090909090909092
64,0.795,2,0,17,15,10.0,7.95,41.17647058823529,11.76470588235294,29.411764705882355,17.647058823529413
65,0.722,5,0,27,22,10.0,7.22,22.22222222222222,29.629629629629626,25.925925925925924,22.22222222222222
66,0.805,3,0,18,15,10.0,8.05,16.666666666666664,22.22222222222222,33.33333333333333,27.77777777777778
67,0.712,8,0,23,15,10.0,7.12,39.130434782608695,17.391304347826086,17.391304347826086,26.08695652173913
68,0.728,6,0,27,21,10.0,7.28,37.03703703703704,33.33333333333333,18.51851851851852,11.11111111111111
69,0.77,4,0,18,14,10.0,7.7,44.44444444444444,16.666666666666664,16.666666666666664,22.22222222222222
70,0.672,7,0,27,20,10.0,6.72,25.925925925925924,29.629629629629626,18.51851851851852,25.925925925925924
71,0.792,5,0,28,23,10.0,7.92,25.0,25.0,28.57142857142857,21.428571428571427
72,0.77,3,0,26,23,10.0,7.7,30.76923076923077,15.384615384615385,26.923076923076923,26.923076923076923
73,0.79,5,0,26,21,10.0,7.9,30.76923076923077,23.076923076923077,23.076923076923077,23.076923076923077
74,0.76,4,0,23,19,10.0,7.6,34.78260869565217,21.73913043478261,39.130434782608695,4.3478260869565215
75,0.9,2,0,18,16,10.0,9.0,33.33333333333333,33.33333333333333,16.666666666666664,16.666666666666664
76,0.648,5,0,28,23,10.0,6.48,17.857142857142858,39.285714285714285,25.0,17.857142857142858
77,0.88,2,0,19,17,10.0,8.8,42.10526315789473,15.789473684210526,26.31578947368421,15.789473684210526
78,0.63,7,0,22,15,10.0,6.3,40.909090909090914,18.181818181818183,18.181818181818183,22.727272727272727
79,0.76,6,0,38,32,10.0,7.6,23.684210526315788,13.157894736842104,28.947368421052634,34.21052631578947
80,0.69,6,0,27,21,10.0,6.9,29.629629629629626,33.33333333333333,11.11111111111111,25.925925925925924
81,0.76,4,0,19,15,10.0,7.6,21.052631578947366,36.84210526315789,26.31578947368421,15.789473684210526
82,0.636,7,0,21,14,10.0,6.36,47.61904761904761,19.047619047619047,19.047619047619047,14.285714285714285
83,0.698,6,0,28,22,10.0,6.98,17.857142857142858,42.857142857142854,17.857142857142858,21.428571428571427
84,0.725,5,0,27,22,10.0,7.25,14.814814814814813,59.25925925925925,14.814814814814813,11.11111111111111
85,0.73,7,0,26,19,10.0,7.3,23.076923076923077,26.923076923076923,23.076923076923077,26.923076923076923
86,0.754,6,0,27,21,10.0,7.54,33.33333333333333,40.74074074074074,11.11111111111111,14.814814814814813
87,0.815,2,0,15,13,10.0,8.15,13.333333333333334,46.666666666666664,20.0,20.0
88,0.68,7,0,28,21,10.0,6.8,17.857142857142858,17.857142857142858,35.714285714285715,28.57142857142857
89,0.672,8,0,29,21,10.0,6.72,17.24137931034483,17.24137931034483,31.03448275862069,34.48275862068966
90,0.8,2,0,16,14,10.0,8.0,37.5,12.5,31.25,18.75
91,0.728,5,0,29,24,10.0,7.28,6.896551724137931,41.37931034482759,31.03448275862069,20.689655172413794
92,0.806,5,0,26,21,10.0,8.06,46.15384615384615,15.384615384615385,23.076923076923077,15.384615384615385
93,0.678,9,0,32,23,10.0,6.78,25.0,40.625,3.125,31.25
94,0.621,11,0,37,26,10.0,6.21,29.72972972972973,37.83783783783784,16.216216216216218,16.216216216216218
95,0.624,8,0,27,19,10.0,6.24,14.814814814814813,48.148148148148145,3.7037037037037033,33.33333333333333
96,0.755,3,0,15,12,10.0,7.55,26.666666666666668,20.0,20.0,33.33333333333333
97,0.864,3,0,25,22,10.0,8.64,24.0,32.0,28.000000000000004,16.0
98,0.666,6,0,23,17,10.0,6.66,21.73913043478261,17.391304347826086,43.47826086956522,17.391304347826086
99,0.8,4,0,34,30,10.0,8.0,29.411764705882355,23.52941176470588,5.88235294117647,41.17647058823529
100,0.646,6,0,21,15,10.0,6.46,23.809523809523807,23.809523809523807,23.809523809523807,28.57142857142857
101,0.68,6,0,28,22,10.0,6.8,17.857142857142858,25.0,32.142857142857146,25.0
102,0.616,9,0,33,24,10.0,6.16,15.151515151515152,18.181818181818183,45.45454545454545,21.21212121212121
