buffer_size,cut1,cut2,rs,avg
1,0.6990000000000001,0.7619999999999999,0.7427999999999999,0.7345999999999999
2,0.6651999999999999,0.7307999999999999,0.722,0.706
3,0.7116,0.7584,0.7093999999999999,0.7264666666666666
4,0.7333999999999999,0.7571999999999999,0.7896000000000001,0.7600666666666666
