variant,rows,utilization_mean,utilization_std,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit
rs_up_with_buffer,2101,0.7809904761904761,0.04976771668042212,40.73829381257454,32.19920376071221,14.416261197548325,12.646241229164932
rs_up_with_buffer_with_mask,2101,0.7576852380952381,0.04970300816028549,48.45889674681754,7.1097171145686,33.72601603017445,10.705370108439414
cut_1_up_with_buffer,2101,0.7209361904761905,0.0746316715914574,12.39157639846087,16.13879228142156,47.31755125186383,24.15208006825374
cut_2_up_with_buffer,2101,0.7151471428571429,0.07477115414273565,7.947361664059105,19.211633119529836,59.5665697983666,13.27443541804446
cut_1_up_with_buffer_with_mask,2101,0.6977161904761905,0.06337155306498714,10.944218604364066,5.307680254881997,71.62456480320692,12.123536337547014
cut_2_up_with_buffer_with_mask,2101,0.6912509523809525,0.06701850756496915,2.637193794689155,3.0377927774664713,78.04874142393791,16.27627200390646
cut_1,2101,0.6345580952380953,0.10858680949531523,11.933506434976461,62.878838400670254,18.59524503605413,6.592410128299159
cut_2_oskp_rl,2101,0.6326738095238095,0.10256306668285757,9.980541067401836,63.875196242832914,13.321318398641443,12.822944291123804
cut_1_oskp_rl,2101,0.6308028571428571,0.10963125289297916,52.58586866837141,24.763580066074287,14.145555778451733,8.504995487102558
cut_2,2101,0.625717619047619,0.10327945803243703,18.8952782693383,26.776648613188453,26.01158372047549,28.316489396997756
cut_1_up,2101,0.5933928571428573,0.113614923761628,21.41287844952923,27.550197788567232,33.22024529944427,17.816678462459265
rs,2101,0.5874166666666666,0.10546098898840604,5.3996737858880905,30.408584487550314,33.2217189656921,30.97002276086949
rs_oskp_rl,2101,0.5862333333333334,0.10380098555974603,14.37469967496937,27.929116135223136,23.872411421770543,33.823772768036946
cut_2_up,2101,0.5746423809523811,0.11174739461774881,41.86635472893575,7.254993084211645,29.03592983583804,21.842722351014565
cut_2_fixed,2101,0.5291480952380953,0.1263849202547537,34.81805685356821,23.066198576562233,14.46346197587764,27.65228259399191
cut_1_fixed,2101,0.5248609523809523,0.12949940870998533,15.00510325213062,21.819722482208974,28.176694491895024,34.99847977376538
rs_up,2101,0.5066423809523809,0.10309526899702605,19.244141425454234,30.054412982280173,23.151926971368542,27.54951862089705
rs_fixed,2101,0.42181142857142856,0.10815475536231864,7.217119391207183,34.289673787748654,27.17039704078865,31.322809780255508
