epoch,train_util,train_q_loss,train_mask_loss,val_cut1_util,val_cut2_util,val_rs_util,avg_val_util,invalid_learned,invalid_attempted,epsilon,lr,train_h_stacking,train_h_best_fit,train_h_semi_perfect_fit,train_h_corner,train_h_complex_fit,val_cut1_h_stacking,val_cut1_h_best_fit,val_cut1_h_semi_perfect_fit,val_cut1_h_corner,val_cut1_h_complex_fit,val_cut2_h_stacking,val_cut2_h_best_fit,val_cut2_h_semi_perfect_fit,val_cut2_h_corner,val_cut2_h_complex_fit,val_rs_h_stacking,val_rs_h_best_fit,val_rs_h_semi_perfect_fit,val_rs_h_corner,val_rs_h_complex_fit
1,0.5378015999999981,1.151719837253795,0.044560483953136186,0.6236328571428561,0.6263519047619049,0.5693652380952385,0.6064499999999998,170626,0,0.8596876667489024,0.0001,0.19862128671292528,0.1982013412412296,0.1979364525590831,0.20107635254745385,0.20416456693930818,0.12727706247019552,0.11847877920839295,0.12963757749165475,0.2300906056270863,0.39451597520267045,0.12646391704855808,0.11796972642688515,0.13002823681896034,0.23186594454473916,0.3936721751608573,0.12490223049329773,0.12064082854599886,0.12010141057798636,0.21509291474499015,0.4192626156377269
2,0.5284639999999992,302.405489140706,0.044785114125157295,0.6698409523809516,0.6697766666666639,0.6059004761904768,0.6485060317460308,151405,0,0.739273548880469,0.0001,0.19435937704488943,0.18290145268943855,0.18989661039131003,0.211660777385159,0.22118178248920298,0.13647474198804999,0.13765163860220894,0.12002082201701973,0.40363027340213653,0.20222252399058482,0.1363806339499791,0.14379358131145378,0.1278238490134401,0.3989793449330195,0.1930225907921075,0.1435448577680525,0.1452181747972712,0.11363109795340455,0.3924057150212383,0.20520015446003348
3,0.538583399999998,299.6394874524795,0.039845713818204107,0.6687933333333334,0.6728485714285699,0.6062504761904747,0.6492974603174594,162345,0,0.6356206227966782,0.0001,0.19105399983227864,0.17235951722046974,0.17597842845070605,0.27935930434333855,0.18124875015320702,0.14324544713237292,0.12362960949533387,0.11246262571350911,0.46203678535834014,0.15862553230044396,0.14115869679453494,0.12274478892976003,0.1116657908565423,0.45272814853739707,0.17170257488176563,0.15756562017498713,0.1281780751415337,0.10756562017498714,0.4470663921770458,0.1596242923314462
4,0.5370808999999963,1623.7526611870653,0.04002800949783964,0.6640685714285719,0.6656185714285706,0.6053904761904771,0.6450258730158732,160396,0,0.5465499744542504,0.0001,0.18249453802696727,0.16328390624798003,0.17095006011402272,0.3082685868679948,0.17500290874303517,0.14601034145008088,0.09193412450741441,0.1742557117149951,0.4876426505091,0.10015717181840961,0.1504945675023788,0.10360470005089509,0.16773251311101767,0.4769312473722644,0.10123697196344404,0.15548929388479038,0.09593090507158832,0.16520576819268437,0.46924401717091224,0.11413001568002468
5,0.5430339000000004,1889.189384416232,0.04000569996577898,0.6929900000000002,0.6887690476190479,0.6149695238095245,0.6655761904761909,166975,0,0.46978475083960197,0.0001,0.1945814072932717,0.1613507960965588,0.17804956343091935,0.30073831535695944,0.1652799178222907,0.179643227271725,0.1849352825737029,0.14398800467464884,0.36146942735551585,0.1299640581244074,0.1728363158688115,0.18603699636066068,0.14826539182117707,0.3640631393070181,0.12879815664233263,0.17704433748440165,0.18165380599485573,0.16545699951613313,0.3435964041052283,0.13224845289938117
6,0.5422817000000013,1009.1971683451728,0.040180521492281226,0.6756923809523822,0.6805476190476178,0.6091800000000009,0.6551400000000004,170403,0,0.40382575207532284,5e-05,0.17832197040283249,0.16383182434473054,0.16871542124236136,0.2955925537998882,0.19353823021018743,0.16952197049644116,0.15005501044075711,0.15200844241866313,0.3610256640546063,0.1673889125895323,0.17807921394721968,0.1540802573801139,0.15777574888048346,0.3504847615321073,0.15958001826007565,0.17521992254622862,0.1519324972429535,0.1557025980354441,0.3619553230232618,0.15518965915211202
7,0.5394696000000035,806.3378761357251,0.040094487347215206,0.6675166666666644,0.6716876190476193,0.603640952380952,0.6476150793650786,169675,0,0.34725255735174554,5e-05,0.1544611819235226,0.1395712630359212,0.14765031543710572,0.35483455645680445,0.20348268314664605,0.1440973796355064,0.08733792728261855,0.12294859008069635,0.45942515187233657,0.18619095112884215,0.1454282077169571,0.08798999165971642,0.1285940037750757,0.4524603836530442,0.18552741319520652,0.1510509348807221,0.091605415860735,0.11664732430689878,0.46207607994842037,0.17862024500322374
8,0.5380439000000024,1783.5949763490014,0.04023590376949774,0.6793271428571425,0.6807776190476179,0.6079004761904763,0.6560017460317455,169019,0,0.2987751304831671,5e-05,0.15855775908634925,0.13284204028088586,0.15077680891015252,0.3619620855518687,0.19586130617074363,0.1294043859059651,0.09988128037990278,0.13784915888269159,0.40736509643169144,0.22550007839974912,0.13580756611112318,0.10540840051280936,0.13700267269290106,0.39807913778492426,0.2237022228982421,0.14257136262214357,0.10905080659639405,0.12202816034469494,0.41027416583314097,0.21607550460362648
9,0.5396781,2135.594366870561,0.04105604111494999,0.6979057142857145,0.6893238095238091,0.6143695238095238,0.6671996825396825,170784,0,0.25686870658329825,5e-05,0.18968329175449794,0.12179697924926028,0.14445583296266928,0.32154299380507584,0.22252090222849666,0.3404400440044004,0.07751375137513751,0.1044884488448845,0.1662926292629263,0.31126512651265126,0.32499730980307756,0.07515334122457763,0.10704831593672656,0.1790595071559238,0.3137415258796944,0.27914258801965325,0.0928693261373183,0.11809780810060844,0.2062065629693745,0.3036837147730455
10,0.5339334000000018,154.11697756806407,0.040294837341468104,0.680636190476191,0.6799014285714284,0.6054885714285719,0.6553420634920637,167934,0,0.22087986422747988,5e-05,0.2523157013313254,0.10705128621224612,0.11759933011807318,0.23642547888119333,0.286608203457162,0.288426195705769,0.07423013133712851,0.13832982204491462,0.18501501636110987,0.313998834551078,0.2792190832716667,0.0793104949288295,0.144561006398816,0.19237800896704826,0.30453140643363946,0.2580238009376127,0.09708412755654011,0.1407964556179486,0.2005048683736026,0.30359074751429604
11,0.5305072000000001,139.78642796737788,0.04102957472120405,0.6768095238095239,0.6822795238095233,0.6071390476190464,0.6554093650793645,168492,0,0.18993612300929358,2.5e-05,0.2683706278655701,0.10826392919799907,0.15093035237952376,0.1948098533219417,0.27762523723496535,0.3518806832284122,0.12326541663846206,0.1294253029174846,0.08666711794038674,0.3087614792752544,0.35911313987610044,0.12807303553961527,0.1285729811976959,0.08881643299641344,0.295424410390175,0.3163843262447866,0.1340816641779517,0.12602337675711858,0.09685392101333608,0.32665671180680705
12,0.5335672000000007,55.227041687426095,0.0409580264128417,0.7114457142857147,0.6969938095238087,0.6164757142857149,0.674971746031746,168771,0,0.16335188703633746,2.5e-05,0.2409235141817049,0.22042476980279935,0.161991343676796,0.12242143445787668,0.2542389378808231,0.3123845133801439,0.2927545053368405,0.11243233842742549,0.09638920893024065,0.18603943392534944,0.3187870769493406,0.2814860654688234,0.11885963040416542,0.09329520720413127,0.18757201997353934,0.2953778206462421,0.28012285199380665,0.11736934284336371,0.10257126177120085,0.2045587227453867
13,0.5381634999999969,29.2026974184716,0.04057231985740196,0.722359523809524,0.7021790476190469,0.6163585714285709,0.6802990476190471,169043,0,0.1404547759252766,2.5e-05,0.26409223539132903,0.20315283910450074,0.16301934051178765,0.16544658765202572,0.20428899734035685,0.343042071197411,0.24263271823228102,0.19933989155361237,0.0871643198525472,0.1278209991641484,0.33377140919111414,0.25604120739359,0.19227997286755977,0.08389859250466339,0.13400881804307274,0.3228372471281895,0.2716529429704178,0.17172410287689335,0.07992782352343195,0.1538578835010674
14,0.539850600000002,14.514030147483648,0.04018050745690962,0.713277142857143,0.6995957142857143,0.6192247619047628,0.6773658730158734,169447,0,0.12077440998807956,2.5e-05,0.2701582274406808,0.24049541024551646,0.2200507254773216,0.12187632768143371,0.14741930915504745,0.23674612478832877,0.1733533064130954,0.2702444531283922,0.16701402457557205,0.1526420910946116,0.23856334312098387,0.18871015787905868,0.2634580194901911,0.15064470828545895,0.15862377122430743,0.22791085928211874,0.19502693951888295,0.2358535906710849,0.15758986163458377,0.18361874889332963
15,0.5365658999999994,4.3366873146915665,0.040922283791449895,0.7187171428571444,0.6949199999999993,0.6117823809523796,0.6751398412698411,169186,0,0.10387344618715948,2.5e-05,0.26802072431748003,0.21329638099667947,0.2363205292194788,0.09988113234363089,0.18248123312273085,0.23664698021295857,0.24328576971160062,0.3276070181488986,0.10378497219468034,0.08867525973186188,0.23755960909265872,0.2455360006843017,0.32521437888929283,0.0965720762141009,0.09511793511964588,0.26330567964262924,0.2382386726228462,0.30802807913209956,0.07563497128270581,0.1147925973197192
16,0.537471799999998,4.184931878439271,0.04158826333572144,0.7019652380952384,0.6907523809523803,0.6137757142857132,0.6688311111111106,169758,0,0.08931211650303345,1.25e-05,0.23718888207379668,0.20278916615553474,0.2813313103270168,0.09797591761629597,0.1807147238273558,0.1302935171565937,0.25463765888784,0.19878817150007683,0.1250246975917104,0.2912559548637791,0.1282056784771552,0.25799944202416464,0.2063652166448484,0.12020087130072751,0.28722879155310427,0.1545834607933109,0.22381972060772917,0.2070459875599062,0.11063526052819414,0.3039155705108596
17,0.5399386999999963,4.717942802949722,0.041583077852872186,0.6762028571428574,0.6813742857142857,0.6102404761904762,0.6559392063492063,170801,0,0.07677937334102308,1.25e-05,0.20880246969277075,0.16150321279187424,0.19981180837968304,0.2986188539645916,0.13126365517108035,0.13308737514622515,0.19522181229191038,0.09677854764690003,0.46612075947088993,0.10879150544407451,0.13173158386374992,0.1994873243108205,0.09873351725935742,0.45350074946234226,0.11654682510372993,0.15618920855943483,0.1972970205795024,0.11876727756731852,0.4022217671751817,0.1255247261185625
