episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit,perc_corner,avg_q_loss,avg_mask_loss
1,0.568,11,0,18,13,10.0,6.21,22.22222222222222,11.11111111111111,22.22222222222222,16.666666666666668,27.77777777777778,0.0,0.0
2,0.654,7,0,18,15,10.0,7.31,22.22222222222222,5.555555555555555,33.333333333333336,27.77777777777778,11.11111111111111,1395.453564453125,0.8880405902862549
3,0.589,10,0,18,13,10.0,6.57,11.11111111111111,11.11111111111111,16.666666666666668,27.77777777777778,33.333333333333336,769.7115020751953,0.7098401884237925
4,0.592,12,0,18,13,10.0,6.06,16.666666666666668,33.333333333333336,16.666666666666668,33.333333333333336,0.0,866.6409301757812,0.7248130771848891
5,0.63,7,0,18,15,10.0,6.74,27.77777777777778,33.333333333333336,11.11111111111111,16.666666666666668,11.11111111111111,527.0324096679688,0.6859910686810812
SUMMARY,0.6066,47,0,,,,,20.0,18.888888888888893,20.000000000000004,24.44444444444445,16.666666666666668,,
