episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit
1,0.67,1,0,13,12,10.0,6.7,15.384615384615385,30.76923076923077,15.384615384615385,38.46153846153847
2,0.576,1,0,19,18,10.0,5.76,21.052631578947366,10.526315789473683,26.31578947368421,42.10526315789473
3,0.394,1,0,12,11,10.0,3.94,50.0,25.0,8.333333333333332,16.666666666666664
4,0.319,1,0,10,9,9.0,3.19,30.0,20.0,30.0,20.0
5,0.63,1,0,18,17,10.0,6.3,33.33333333333333,5.555555555555555,38.88888888888889,22.22222222222222
6,0.628,1,0,22,21,10.0,6.28,27.27272727272727,36.36363636363637,22.727272727272727,13.636363636363635
7,0.516,1,0,13,12,10.0,5.16,7.6923076923076925,30.76923076923077,23.076923076923077,38.46153846153847
8,0.62,1,0,15,14,10.0,6.2,46.666666666666664,46.666666666666664,0.0,6.666666666666667
9,0.71,1,0,14,13,10.0,7.1,14.285714285714285,42.857142857142854,21.428571428571427,21.428571428571427
10,0.564,1,0,19,18,10.0,5.64,15.789473684210526,47.368421052631575,15.789473684210526,21.052631578947366
11,0.55,1,0,13,12,10.0,5.5,30.76923076923077,7.6923076923076925,23.076923076923077,38.46153846153847
12,0.58,1,0,9,8,10.0,5.8,33.33333333333333,44.44444444444444,22.22222222222222,0.0
13,0.575,1,0,10,9,10.0,5.75,30.0,40.0,0.0,30.0
14,0.698,1,0,20,19,10.0,6.98,40.0,20.0,20.0,20.0
15,0.547,1,0,17,16,9.0,5.47,17.647058823529413,23.52941176470588,47.05882352941176,11.76470588235294
16,0.46,1,0,14,13,9.0,4.6,21.428571428571427,21.428571428571427,7.142857142857142,50.0
17,0.748,1,0,20,19,10.0,7.48,25.0,30.0,20.0,25.0
18,0.487,1,0,14,13,10.0,4.87,28.57142857142857,35.714285714285715,14.285714285714285,21.428571428571427
19,0.32,1,0,19,18,10.0,3.2,31.57894736842105,26.31578947368421,31.57894736842105,10.526315789473683
20,0.422,1,0,11,10,9.0,4.22,9.090909090909092,54.54545454545454,18.181818181818183,18.181818181818183
21,0.78,1,0,15,14,10.0,7.8,6.666666666666667,46.666666666666664,13.333333333333334,33.33333333333333
22,0.413,1,0,12,11,9.0,4.13,16.666666666666664,16.666666666666664,33.33333333333333,33.33333333333333
23,0.532,1,0,18,17,10.0,5.32,27.77777777777778,11.11111111111111,22.22222222222222,38.88888888888889
24,0.487,1,0,12,11,10.0,4.87,75.0,0.0,8.333333333333332,16.666666666666664
25,0.4,1,0,10,9,10.0,4.0,30.0,20.0,30.0,20.0
26,0.47,1,0,14,13,9.0,4.7,7.142857142857142,50.0,14.285714285714285,28.57142857142857
27,0.75,1,0,14,13,10.0,7.5,7.142857142857142,42.857142857142854,28.57142857142857,21.428571428571427
28,0.456,1,0,15,14,10.0,4.56,6.666666666666667,26.666666666666668,26.666666666666668,40.0
29,0.416,1,0,15,14,10.0,4.16,26.666666666666668,46.666666666666664,20.0,6.666666666666667
30,0.7,1,0,16,15,10.0,7.0,25.0,31.25,25.0,18.75
31,0.6,1,0,21,20,10.0,6.0,14.285714285714285,23.809523809523807,38.095238095238095,23.809523809523807
32,0.492,1,0,17,16,10.0,4.92,29.411764705882355,29.411764705882355,29.411764705882355,11.76470588235294
33,0.635,1,0,14,13,9.0,6.35,7.142857142857142,28.57142857142857,7.142857142857142,57.14285714285714
34,0.299,1,0,10,9,9.0,2.99,30.0,40.0,10.0,20.0
35,0.53,1,0,14,13,10.0,5.3,28.57142857142857,28.57142857142857,42.857142857142854,0.0
36,0.657,1,0,18,17,10.0,6.57,16.666666666666664,33.33333333333333,22.22222222222222,27.77777777777778
37,0.504,1,0,19,18,10.0,5.04,31.57894736842105,42.10526315789473,10.526315789473683,15.789473684210526
38,0.524,1,0,16,15,10.0,5.24,43.75,31.25,18.75,6.25
39,0.692,1,0,15,14,10.0,6.92,33.33333333333333,13.333333333333334,40.0,13.333333333333334
40,0.37,1,0,13,12,8.0,3.7,38.46153846153847,30.76923076923077,23.076923076923077,7.6923076923076925
41,0.49,1,0,10,9,10.0,4.9,50.0,10.0,30.0,10.0
42,0.543,1,0,16,15,10.0,5.43,18.75,25.0,18.75,37.5
43,0.531,1,0,13,12,10.0,5.31,23.076923076923077,30.76923076923077,38.46153846153847,7.6923076923076925
44,0.582,1,0,20,19,10.0,5.82,10.0,35.0,35.0,20.0
45,0.43,1,0,15,14,10.0,4.3,6.666666666666667,33.33333333333333,26.666666666666668,33.33333333333333
46,0.36,1,0,14,13,10.0,3.6,35.714285714285715,14.285714285714285,28.57142857142857,21.428571428571427
47,0.768,1,0,18,17,10.0,7.68,27.77777777777778,22.22222222222222,38.88888888888889,11.11111111111111
48,0.612,1,0,21,20,10.0,6.12,38.095238095238095,33.33333333333333,14.285714285714285,14.285714285714285
49,0.34,1,0,9,8,9.0,3.4,22.22222222222222,22.22222222222222,22.22222222222222,33.33333333333333
50,0.504,1,0,19,18,10.0,5.04,31.57894736842105,5.263157894736842,47.368421052631575,15.789473684210526
51,0.458,1,0,15,14,10.0,4.58,13.333333333333334,20.0,20.0,46.666666666666664
52,0.504,1,0,14,13,9.0,5.04,21.428571428571427,28.57142857142857,28.57142857142857,21.428571428571427
53,0.487,1,0,13,12,10.0,4.87,53.84615384615385,38.46153846153847,0.0,7.6923076923076925
54,0.42,1,0,10,9,10.0,4.2,50.0,10.0,10.0,30.0
55,0.326,1,0,10,9,10.0,3.26,40.0,30.0,20.0,10.0
56,0.545,1,0,19,18,10.0,5.45,36.84210526315789,31.57894736842105,21.052631578947366,10.526315789473683
57,0.618,1,0,14,13,10.0,6.18,21.428571428571427,28.57142857142857,21.428571428571427,28.57142857142857
58,0.48,1,0,14,13,9.0,4.8,35.714285714285715,28.57142857142857,14.285714285714285,21.428571428571427
59,0.462,1,0,14,13,9.0,4.62,7.142857142857142,28.57142857142857,42.857142857142854,21.428571428571427
60,0.71,1,0,17,16,10.0,7.1,23.52941176470588,11.76470588235294,29.411764705882355,35.294117647058826
61,0.364,1,0,10,9,9.0,3.64,10.0,40.0,20.0,30.0
