epoch,train_util,train_q_loss,train_mask_loss,val_cut1_util,val_cut2_util,val_rs_util,avg_val_util,invalid_learned,invalid_attempted,epsilon,lr,train_h_stacking,train_h_best_fit,train_h_semi_perfect_fit,train_h_corner,train_h_complex_fit,val_cut1_h_stacking,val_cut1_h_best_fit,val_cut1_h_semi_perfect_fit,val_cut1_h_corner,val_cut1_h_complex_fit,val_cut2_h_stacking,val_cut2_h_best_fit,val_cut2_h_semi_perfect_fit,val_cut2_h_corner,val_cut2_h_complex_fit,val_rs_h_stacking,val_rs_h_best_fit,val_rs_h_semi_perfect_fit,val_rs_h_corner,val_rs_h_complex_fit
11,0.38960100000000053,567.3156379131965,0.050441678699340235,0.5834928571428567,0.5924961904761904,0.5144338095238102,0.5634742857142858,90689,0,0.1902069769535926,2.5e-05,0.1594076564656559,0.12745555866878366,0.13905752207797598,0.4853522617602192,0.08872700102736528,0.057768807768807766,0.16602316602316602,0.19357669357669358,0.5202702702702703,0.06236106236106236,0.06312825566661974,0.16654934534703647,0.19397437702379278,0.5087990989722653,0.0675489229902858,0.06072192794752166,0.17476409302978216,0.1665205037359245,0.5443224471182516,0.05367102816852001
12,0.38946319999999984,60.909351626580076,0.05021734678187172,0.5784747619047628,0.5858880952380948,0.5066285714285718,0.5569971428571431,91412,0,0.16354066888226093,2.5e-05,0.06647350821442666,0.06398114108874904,0.14207531102664755,0.6581718487133155,0.06929819095686128,0.035660605346143646,0.05841266098847661,0.17279184226813238,0.6336683268987062,0.09946656449854116,0.03979490101125196,0.06292550918672554,0.16826662868537245,0.6222760290556901,0.10673693206095998,0.04030280413690159,0.05181789103315919,0.1757472367345488,0.6350001777019583,0.09713189039343213
13,0.3877168000000016,44.465508948939686,0.049929032106254885,0.5726019047619051,0.5841095238095227,0.5043619047619048,0.5536911111111108,90465,0,0.14065928790447627,2.5e-05,0.0831460907918279,0.06682478259060459,0.130091956892606,0.6546935463737361,0.0652436233512254,0.10465772969116904,0.06325238534018963,0.06824599470915198,0.6717593555866005,0.09208453467288887,0.09987170349251603,0.06719885958660014,0.07321454027084819,0.6648039914468995,0.09491090520313614,0.09881832137374603,0.04748134661383028,0.0635821641497983,0.7005105137267502,0.0896076541358752
14,0.3906342000000001,33.93408137404452,0.049394661426033465,0.5805957142857144,0.5883733333333324,0.5031171428571429,0.5573620634920632,90638,0,0.12094663749697772,2.5e-05,0.07664346961600596,0.06204175469118926,0.15946936746613644,0.6460067934219792,0.055838614804689116,0.0350897816439886,0.1551121168483851,0.05777764716254739,0.6533341170247157,0.09868633732036323,0.03782801317732591,0.15409519481994774,0.0624503010337385,0.6464841531296149,0.09914233783937294,0.0336805182719496,0.15601846880704393,0.05390314613980458,0.6643043773936075,0.0920934893875944
15,0.39085480000000145,25.723878265864865,0.04915586395311332,0.591596190476189,0.5937699999999997,0.512760476190477,0.5660422222222219,90778,0,0.10401845185007001,2.5e-05,0.04838309742742019,0.09653889864655439,0.14866205186486206,0.6458828391362744,0.060533112924888936,0.06335849165726844,0.1855064920042798,0.04528498308319597,0.5997802261357392,0.1060698071195165,0.06844609623560549,0.18253230847199933,0.048680913365430636,0.5926176197313963,0.10772306219556832,0.06436636066265695,0.19665154233055468,0.044317822095599875,0.591396714853505,0.10326756005768352
16,0.38589820000000025,24.783512993820842,0.04991081137111835,0.5945738095238084,0.5973638095238103,0.5167257142857147,0.5695544444444445,89398,0,0.08946094615954243,1.25e-05,0.10167721452889697,0.08696242454623306,0.157225807799152,0.5593500010443428,0.09478455208137519,0.04556845349540571,0.05383529682864303,0.2314140046663018,0.5854480513869286,0.08373419362272086,0.04904266039637219,0.057692307692307696,0.2230433322136379,0.5835292800358303,0.08669241966185198,0.043875301773905744,0.0550015744725517,0.241279171477555,0.5734578916063119,0.08638606066967566
17,0.38818489999999967,24.585712375307917,0.04965069630366757,0.5765109523809523,0.5818776190476196,0.5065238095238096,0.5549707936507938,90579,0,0.07693385624336897,1.25e-05,0.04193135858433578,0.09826265062746281,0.15837847391896528,0.6140713862405257,0.08735613062871045,0.04353612729585046,0.15696075241785218,0.047617639229836445,0.6674455059004466,0.08443997515601431,0.04726418068732265,0.15532116139757518,0.05104760812863653,0.6655392817220327,0.08082776806443291,0.03965321205230245,0.1566586128482092,0.04576463899943149,0.6806424104604889,0.07728112563956793
18,0.38773049999999976,20.81174114787,0.049172980929405745,0.5749647619047614,0.5880100000000007,0.5051023809523821,0.5560257142857147,89918,0,0.0661589322194826,1.25e-05,0.039440521568872504,0.09060801099793789,0.18958945197775418,0.6161761336416088,0.06418588181382658,0.04394204272719192,0.047971791756792795,0.15493792408663962,0.6594269459835846,0.09372129544579098,0.050502469766649634,0.051041844092431725,0.15031510815874638,0.6570714812922274,0.09106909668994492,0.043077032708615404,0.042079384308415874,0.16318677403263734,0.6667854343333571,0.08487137461697428
19,0.39130060000000005,19.13946841417551,0.04890650467292383,0.5926166666666658,0.5990695238095237,0.5096738095238107,0.5671200000000001,90559,0,0.056890523417117055,1.25e-05,0.05184174624829468,0.04050394807557154,0.2556844020009095,0.6116416552978626,0.04032824837736161,0.03877668782458165,0.07296595499134449,0.19108482400461627,0.6137622619734564,0.08341027120600115,0.04486857525531559,0.078324683297059,0.18095317819074724,0.6157430660193091,0.08011049723756906,0.0364131781025514,0.0742418344598181,0.20719062953395379,0.6120881842952688,0.07006617360840794
20,0.3914565000000005,17.42475535018708,0.04861436544382473,0.6069152380952371,0.6078695238095251,0.5156314285714285,0.5768053968253969,90280,0,0.04999999027534222,1.25e-05,0.036057617842944915,0.08253394599617946,0.15383344519593165,0.6918064949145541,0.0357684960503898,0.05317644396673644,0.052016744922781015,0.2706058720371104,0.5646885783786841,0.059512360694688016,0.060831473675510374,0.05424690745791663,0.26431936523679644,0.5611483042675703,0.05945394936220624,0.04234322508398656,0.04899216125419933,0.30567609182530797,0.5475923852183651,0.0553961366181411
21,0.3915121999999997,17.647212984697767,0.049160036088438885,0.6129780952380952,0.6095919047619043,0.5200180952380957,0.5808626984126984,89951,0,0.04999999027534222,6.25e-06,0.034293977894845576,0.0357504390042351,0.3601900630100196,0.5392728023964466,0.030492717694453053,0.05072057421634049,0.042785846464419894,0.2772668648012112,0.5553468289126899,0.07387988560533841,0.05729409506047558,0.04637832204273059,0.26949343133759357,0.5558816269438578,0.07095252461534242,0.03510782373163871,0.04125429732263777,0.3125672813140258,0.5411674827238948,0.06990311490780289
22,0.3923238999999989,18.132906792657074,0.049157375385166104,0.61484619047619,0.6119933333333325,0.5217323809523817,0.5828573015873014,90856,0,0.04999999027534222,6.25e-06,0.0320740089927128,0.0374489637707375,0.4010853274071011,0.4932347924957362,0.03615690733371234,0.04548887956357533,0.04311092460483984,0.2999580360889635,0.53629878304658,0.0751433766960414,0.047915012457903236,0.04498535169619144,0.2899268953809928,0.5398789803685349,0.07729376009637763,0.03313138307079799,0.04109399342219145,0.33259477237320406,0.522520339276441,0.07065951185736541
23,0.39182300000000125,18.279437555776763,0.04900237814243844,0.6176314285714283,0.616169523809523,0.5237114285714288,0.58583746031746,89794,0,0.04999999027534222,6.25e-06,0.03664694402279979,0.03736976343153351,0.41675701909275836,0.4749956114535898,0.034230661999318485,0.05329398006348499,0.03967811995322158,0.3111878376120733,0.5338308180653784,0.06200924430584173,0.05390916265273356,0.04209867472174599,0.2958336734971562,0.5429286744496149,0.06522981467874929,0.0372694363040855,0.04419927598689881,0.34476814342354767,0.5130494742285813,0.06071367005688674
24,0.3900386999999996,17.35273729240191,0.048635157568485236,0.6161309523809527,0.6152985714285707,0.5236619047619057,0.5850304761904764,89476,0,0.04999999027534222,6.25e-06,0.04435471346482373,0.034901899880933895,0.37682870010871256,0.5107832479163431,0.03313143862918673,0.07087625268682132,0.029673673338358037,0.2974066940233928,0.5418027524216286,0.06024062752979929,0.07748685393564558,0.03266762934909953,0.28534452224613793,0.5440972127618996,0.06040378170721739,0.05786805531606718,0.028623650722488535,0.33213780735938203,0.5216746559988964,0.05969583060316584
25,0.3911960999999998,15.684300957069883,0.0484584351970437,0.6227652380952374,0.6232780952380949,0.524424761904763,0.5901560317460318,89782,0,0.04999999027534222,6.25e-06,0.04218038891187422,0.04038063715349607,0.44017376913529166,0.4484484898634671,0.028816714935870916,0.055291254079769876,0.05825081595397466,0.3178348177241799,0.5200531061569951,0.04857000608508049,0.060306515473913865,0.06027958089799876,0.3093705389608641,0.5200797263447087,0.04996363832251461,0.03867631851085832,0.0677007928300586,0.3640124095139607,0.4789382971389176,0.050672182006204755
26,0.3909849999999991,16.76480270905441,0.048547747507703694,0.6094390476190472,0.6146576190476186,0.5190128571428585,0.5810365079365081,89713,0,0.04999999027534222,3.125e-06,0.03816502004877847,0.05889587036501178,0.3845335041957753,0.49026497457732215,0.028140630813112313,0.04593490207129773,0.053853741017331265,0.27549668874172184,0.5751444272227701,0.049570240946878966,0.053379908850257896,0.05646371749038016,0.2634063804819474,0.5755806020249433,0.05116939115247114,0.0357391425389755,0.06089922048997773,0.3121868040089087,0.5372007238307349,0.05397410913140312
27,0.39026660000000163,16.249742976919798,0.048093780932233605,0.6160199999999999,0.6163271428571423,0.520308095238096,0.5842184126984127,89328,0,0.04999999027534222,3.125e-06,0.033016622161501995,0.051760541514003604,0.369247966217475,0.5184334182036473,0.027541451903372042,0.04884045822855546,0.0567476948868399,0.2993853031573065,0.5439228834870076,0.05110366024029058,0.053140228132741676,0.0607900253178341,0.2873982522527428,0.5478997087087905,0.050771785587891,0.03533617966607657,0.061334999479329376,0.3374986983234406,0.5143531535284113,0.0514769690027422
28,0.3905831000000012,16.29749060552127,0.04802585827089091,0.612874761904761,0.6135380952380951,0.5194795238095247,0.5819641269841269,89432,0,0.04999999027534222,3.125e-06,0.03680803986848363,0.04769536177340309,0.38135610744639054,0.5057590107322318,0.02838148017949089,0.05092787557202617,0.053005418456441786,0.28889076054914514,0.5571183918695078,0.05005755355287908,0.05722710642712827,0.0546606236007208,0.27939168896412386,0.5574728335062524,0.051247747501774694,0.035538108802890295,0.05172653373167512,0.326026540679497,0.5330368929340652,0.05367192385187244
29,0.390934500000001,16.236716312041032,0.04774522845070657,0.6200161904761894,0.6191014285714289,0.5233561904761913,0.5874912698412699,89052,0,0.04999999027534222,3.125e-06,0.03828270303781773,0.04552593511056003,0.4012812564579459,0.4865468071915685,0.028363298202107874,0.05975829976385609,0.046506459230448674,0.30998749826364774,0.530240311154327,0.05350743158772052,0.06367304931885275,0.05064593884570593,0.29978604122091923,0.5299406873764321,0.055954283238090076,0.047870322469391276,0.04856009656837386,0.3444042076220038,0.500120710467322,0.059044662872909125
30,0.38881410000000055,15.580709241982797,0.0478222629228923,0.6237695238095242,0.6200761904761898,0.5246557142857141,0.5895004761904761,88604,0,0.04999999027534222,3.125e-06,0.0393854256300735,0.04058803404625896,0.40568336149786954,0.48434017230475757,0.030003006521040463,0.0509533020171318,0.053329649074329924,0.31508704061895554,0.5210002763194252,0.0596297319701575,0.057135903953274565,0.05199826942837056,0.30855551349305066,0.5200097344654157,0.0623005786598886,0.040360906398512295,0.05554790274812315,0.3602176458433776,0.4802672360355396,0.06360630897444727
