epoch,train_util,train_q_loss,train_mask_loss,val_cut1_util,val_cut2_util,val_rs_util,avg_val_util,invalid_learned,invalid_attempted,epsilon,lr,train_h_stacking,train_h_best_fit,train_h_semi_perfect_fit,train_h_corner,train_h_complex_fit,val_cut1_h_stacking,val_cut1_h_best_fit,val_cut1_h_semi_perfect_fit,val_cut1_h_corner,val_cut1_h_complex_fit,val_cut2_h_stacking,val_cut2_h_best_fit,val_cut2_h_semi_perfect_fit,val_cut2_h_corner,val_cut2_h_complex_fit,val_rs_h_stacking,val_rs_h_best_fit,val_rs_h_semi_perfect_fit,val_rs_h_corner,val_rs_h_complex_fit
1,0.5661023000000001,5.294663086212944,0.03971074656463332,0.6920376190476192,0.6867661904761876,0.6224790476190468,0.6670942857142844,204907,0,0.8600359133809744,0.0001,0.1970662975904161,0.19523982393247719,0.19555747152516223,0.20457072196759996,0.20756568498434452,0.2265302270963954,0.15458491476021724,0.16077082765417602,0.19780242823292582,0.2603116022562855,0.22054738562091503,0.1527777777777778,0.17261029411764706,0.20661764705882352,0.2474468954248366,0.20917162557853972,0.14125814678379145,0.1699253801832436,0.20591291206196277,0.27373193539246243
2,0.5580729000000019,123.48169566286664,0.034538653547851704,0.6720890476190479,0.6707947619047604,0.6117123809523819,0.6515320634920634,188068,0,0.7397505377092821,0.0001,0.19633618716234777,0.1838945609376431,0.18829548576137717,0.20914408021243475,0.22232968592619723,0.20905379699489174,0.12033257101331567,0.1501057986192746,0.2378438455126424,0.2826639878598756,0.20896669158567988,0.11743084973835036,0.1623266051997674,0.2291926239720907,0.28208322950411163,0.21116678596993557,0.11054640897160582,0.14321164399904557,0.24805535671677403,0.28701980434263896
3,0.5599324000000001,406.3395831541816,0.03350078819677388,0.6861633333333333,0.6861371428571418,0.6240461904761895,0.6654488888888882,189766,0,0.6358208763330405,0.0001,0.19228097968648655,0.175658223270711,0.18009516757644115,0.22007932544670789,0.23188630401965343,0.1880446221848032,0.13961271311302884,0.14687434224373816,0.2672069038097243,0.25826141864870555,0.19512693675646947,0.1383835493234128,0.15375495687011978,0.2607824700543723,0.2519520869956257,0.19226334737287937,0.13012070872255818,0.14828584201981224,0.258970799312925,0.2703593025718252
4,0.5616484000000008,256.24006373186063,0.031981535351985224,0.6971471428571432,0.6885285714285709,0.6248519047619042,0.6701758730158728,193910,0,0.5466401633168301,0.0001,0.18905816778619408,0.17289123910247248,0.17735029298270688,0.22555380877518938,0.23514649135343718,0.2025400791172184,0.18525921299188008,0.20426816572975223,0.20757859671038933,0.20035394545075993,0.21007185433167305,0.17928880542173595,0.19882420184534988,0.2120315179227566,0.19978362047848452,0.21155791900985907,0.17402762417939246,0.19461634391397445,0.20388715028588908,0.21591096261088497
5,0.5605445999999966,10.641271269123001,0.02518084509862423,0.6914238095238094,0.682932380952381,0.6186014285714279,0.6643192063492062,185633,0,0.4698904650938072,0.0001,0.20310889138353685,0.19012463057572912,0.19283374189557606,0.20761644023918074,0.20631629590597722,0.18235097119892832,0.17201105157401206,0.27342180174146014,0.17019005358338915,0.2020261219022103,0.184126919056306,0.17504663127472483,0.273023551355894,0.16528993379383852,0.20251296451923667,0.17610971623478136,0.17748353782746695,0.27635131934246054,0.1719645648775404,0.19809086171775073
6,0.5541525000000018,13.288967643411269,0.027387679896996416,0.659623333333333,0.6658704761904748,0.6037019047619048,0.6430652380952375,173958,0,0.4038984477983344,5e-05,0.20131206288653836,0.18517426738338824,0.18993699786139528,0.19476330847927864,0.22881336338939945,0.2143474503025065,0.16015557476231634,0.17992653414001727,0.19857389801210026,0.24699654278305963,0.211424750840977,0.16418378220262844,0.18127494201959843,0.19550364597480202,0.2476128789619941,0.21631052074309365,0.16592068534026375,0.17285109250168448,0.19689094234286264,0.24802675907209548
7,0.5490162999999975,223.05595417525348,0.03243392015125338,0.6859280952380945,0.6851999999999995,0.6191990476190465,0.6634423809523802,172999,0,0.3474088573396662,5e-05,0.19298683073640016,0.16389383404756244,0.17057414741920707,0.24189461109790256,0.23065057669892777,0.1779882154882155,0.15082070707070708,0.146506734006734,0.24766414141414142,0.277020202020202,0.18889434688280324,0.14282205575340784,0.14716116091530557,0.24741086413688648,0.2737115723115969,0.19614345951580045,0.1415644099114038,0.14125645520443456,0.24844838205334724,0.27258729331501397
8,0.5653061000000009,362.6073517035886,0.0361256407431623,0.7047557142857136,0.701930476190475,0.6331790476190485,0.679955079365079,198149,0,0.29871239382281944,5e-05,0.19159380883850308,0.1557289859441749,0.18102492050580493,0.24801620031968327,0.22363608439183386,0.23379423288210785,0.1515785982296482,0.14799228839735484,0.2445738924936255,0.22206098799726362,0.23827376993005583,0.15436092801999557,0.14474612485134344,0.24780794581846768,0.21481123138013747,0.24342396495887794,0.1596654318398919,0.1530719228349759,0.22068451340835488,0.22315416695789939
9,0.5650977999999982,197.3509909654954,0.03536090827009712,0.708918571428572,0.701798095238095,0.6328323809523813,0.6811830158730161,199247,0,0.25683017887800236,5e-05,0.19394859892829105,0.1621443280202965,0.17676940054836912,0.24077613570429024,0.2263615367987531,0.19860584062035969,0.1661235769674971,0.1932436891602046,0.23797640653357532,0.20405048671836332,0.21760012861477865,0.16378288217680512,0.18749623198890697,0.23389803259580796,0.1972227246237013,0.20681066989432523,0.16791583259624784,0.19480005586332108,0.22422140496252502,0.20625203668358083
10,0.5630834999999975,115.02435395022424,0.03442794969440202,0.7006166666666672,0.6908052380952371,0.6266890476190464,0.6727036507936502,197870,0,0.22090637160040352,5e-05,0.19668447311681145,0.17044129275965844,0.17707462211071856,0.23471518213210907,0.22108442988070248,0.22249027722895826,0.1582887922966537,0.15716573425119065,0.23083002308508205,0.23122517313811533,0.2197960969455241,0.1645876152296453,0.16422132231741315,0.22618587330335158,0.22520909220406585,0.2141600394116405,0.1617519412578882,0.16686607080019705,0.22832946254721187,0.2288924859830624
11,0.5658727000000024,73.40299935059741,0.03513319207672115,0.7149314285714288,0.70197,0.6355257142857127,0.6841423809523804,199260,0,0.18999881274329797,2.5e-05,0.1878136607218804,0.16541438657177693,0.19047322010831041,0.2551532507301029,0.20114548186792935,0.17699205844329072,0.1625248814922739,0.20106297839157825,0.2857113541688043,0.17370872750405286,0.18360530392965654,0.16587858910642064,0.20231795408358316,0.28360731604257633,0.16459083683776335,0.18681216624100302,0.16306013466449965,0.2179010912468075,0.2535639656373346,0.17866264221035524
12,0.5689188999999999,39.33907341680377,0.0344469852739262,0.7187228571428574,0.7103723809523801,0.638794761904761,0.6892966666666661,199866,0,0.1633273859071537,2.5e-05,0.1882774089765956,0.1663060470806806,0.18994267847837415,0.26939982327752227,0.18607404218682738,0.1821545380212592,0.15789043336058872,0.18902289452166804,0.3305600981193786,0.14037203597710549,0.18579867486229742,0.15376786141933424,0.18152789973656902,0.34048455336473216,0.13842101061706713,0.1961858529819695,0.16645862228386502,0.19082293111419324,0.29410540915395283,0.1524271844660194
13,0.5686446999999987,21.752210265398553,0.033293087291100594,0.7184871428571424,0.7096414285714272,0.6337723809523814,0.6873003174603171,196504,0,0.14046531050752245,2.5e-05,0.2001923620933522,0.1712135785007072,0.21881753889674682,0.21752758132956151,0.19224893917963226,0.17691537408292973,0.13947642695113727,0.3026791735638526,0.1799807900598778,0.2009482353422026,0.18213614741975456,0.13356917296238557,0.29437982172122956,0.18161650077946995,0.20829835711716033,0.18818844461004633,0.1567033837125358,0.26976549218695417,0.1892829696560397,0.19605970983442397
