episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit
22,0.6,1,0,12,11,10.0,6.0,25.0,8.333333333333332,25.0,41.66666666666667
23,0.855,1,0,15,14,10.0,8.55,40.0,13.333333333333334,13.333333333333334,33.33333333333333
24,0.661,1,0,21,20,10.0,6.61,14.285714285714285,28.57142857142857,42.857142857142854,14.285714285714285
25,0.619,1,0,20,19,10.0,6.19,35.0,25.0,10.0,30.0
26,0.692,1,0,18,17,10.0,6.92,33.33333333333333,27.77777777777778,22.22222222222222,16.666666666666664
27,0.666,1,0,22,21,10.0,6.66,31.818181818181817,31.818181818181817,27.27272727272727,9.090909090909092
28,0.539,1,0,18,17,10.0,5.39,16.666666666666664,27.77777777777778,38.88888888888889,16.666666666666664
29,0.688,1,0,19,18,10.0,6.88,26.31578947368421,10.526315789473683,42.10526315789473,21.052631578947366
30,0.722,1,0,24,23,10.0,7.22,8.333333333333332,29.166666666666668,41.66666666666667,20.833333333333336
31,0.718,1,0,28,27,10.0,7.18,39.285714285714285,17.857142857142858,10.714285714285714,32.142857142857146
32,0.655,1,0,19,18,10.0,6.55,10.526315789473683,15.789473684210526,47.368421052631575,26.31578947368421
33,0.795,1,0,15,14,10.0,7.95,20.0,26.666666666666668,33.33333333333333,20.0
34,0.704,1,0,25,24,10.0,7.04,28.000000000000004,20.0,28.000000000000004,24.0
35,0.738,1,0,21,20,10.0,7.38,28.57142857142857,28.57142857142857,14.285714285714285,28.57142857142857
36,0.63,1,0,16,15,10.0,6.3,43.75,31.25,18.75,6.25
37,0.565,1,0,22,21,10.0,5.65,40.909090909090914,27.27272727272727,18.181818181818183,13.636363636363635
38,0.636,1,0,26,25,10.0,6.36,34.61538461538461,11.538461538461538,26.923076923076923,26.923076923076923
39,0.532,1,0,19,18,10.0,5.32,31.57894736842105,21.052631578947366,26.31578947368421,21.052631578947366
40,0.706,1,0,18,17,10.0,7.06,16.666666666666664,38.88888888888889,22.22222222222222,22.22222222222222
41,0.578,1,0,18,17,10.0,5.78,22.22222222222222,16.666666666666664,27.77777777777778,33.33333333333333
42,0.676,1,0,16,15,10.0,6.76,6.25,18.75,56.25,18.75
43,0.754,1,0,27,26,10.0,7.54,33.33333333333333,22.22222222222222,25.925925925925924,18.51851851851852
44,0.415,1,0,18,17,10.0,4.15,16.666666666666664,33.33333333333333,22.22222222222222,27.77777777777778
45,0.45,1,0,13,12,10.0,4.5,38.46153846153847,23.076923076923077,23.076923076923077,15.384615384615385
46,0.5,1,0,13,12,10.0,5.0,38.46153846153847,23.076923076923077,23.076923076923077,15.384615384615385
47,0.584,1,0,14,13,10.0,5.84,28.57142857142857,14.285714285714285,28.57142857142857,28.57142857142857
48,0.668,1,0,19,18,10.0,6.68,21.052631578947366,15.789473684210526,36.84210526315789,26.31578947368421
49,0.94,1,0,25,24,10.0,9.4,12.0,44.0,32.0,12.0
50,0.716,1,0,21,20,10.0,7.16,19.047619047619047,33.33333333333333,38.095238095238095,9.523809523809524
51,0.42,1,0,13,12,9.0,4.2,23.076923076923077,30.76923076923077,38.46153846153847,7.6923076923076925
52,0.672,1,0,20,19,10.0,6.72,25.0,40.0,25.0,10.0
53,0.62,1,0,18,17,10.0,6.2,16.666666666666664,38.88888888888889,33.33333333333333,11.11111111111111
54,0.768,1,0,22,21,10.0,7.68,22.727272727272727,22.727272727272727,13.636363636363635,40.909090909090914
55,0.78,1,0,19,18,10.0,7.8,21.052631578947366,10.526315789473683,31.57894736842105,36.84210526315789
56,0.736,1,0,28,27,10.0,7.36,21.428571428571427,35.714285714285715,14.285714285714285,28.57142857142857
57,0.37,1,0,10,9,10.0,3.7,40.0,10.0,40.0,10.0
58,0.674,1,0,22,21,10.0,6.74,18.181818181818183,31.818181818181817,27.27272727272727,22.727272727272727
59,0.766,1,0,33,32,10.0,7.66,21.21212121212121,27.27272727272727,30.303030303030305,21.21212121212121
60,0.646,1,0,16,15,10.0,6.46,37.5,18.75,25.0,18.75
61,0.705,1,0,10,9,10.0,7.05,40.0,0.0,40.0,20.0
62,0.558,1,0,17,16,10.0,5.58,29.411764705882355,29.411764705882355,17.647058823529413,23.52941176470588
63,0.577,1,0,19,18,10.0,5.77,26.31578947368421,31.57894736842105,10.526315789473683,31.57894736842105
64,0.63,1,0,16,15,10.0,6.3,37.5,25.0,6.25,31.25
65,0.708,1,0,15,14,10.0,7.08,13.333333333333334,20.0,33.33333333333333,33.33333333333333
66,0.418,1,0,12,11,10.0,4.18,25.0,8.333333333333332,58.333333333333336,8.333333333333332
67,0.691,1,0,15,14,10.0,6.91,40.0,26.666666666666668,20.0,13.333333333333334
68,0.467,1,0,13,12,10.0,4.67,23.076923076923077,23.076923076923077,30.76923076923077,23.076923076923077
69,0.429,1,0,14,13,9.0,4.29,14.285714285714285,7.142857142857142,35.714285714285715,42.857142857142854
70,0.55,1,0,18,17,10.0,5.5,0.0,5.555555555555555,50.0,44.44444444444444
71,0.672,1,0,20,19,10.0,6.72,20.0,40.0,15.0,25.0
72,0.82,1,0,23,22,10.0,8.2,21.73913043478261,8.695652173913043,21.73913043478261,47.82608695652174
73,0.608,1,0,18,17,10.0,6.08,27.77777777777778,33.33333333333333,16.666666666666664,22.22222222222222
74,0.512,1,0,20,19,10.0,5.12,35.0,15.0,30.0,20.0
75,0.58,1,0,17,16,10.0,5.8,35.294117647058826,5.88235294117647,29.411764705882355,29.411764705882355
76,0.55,1,0,14,13,10.0,5.5,14.285714285714285,35.714285714285715,35.714285714285715,14.285714285714285
77,0.674,1,0,19,18,10.0,6.74,15.789473684210526,10.526315789473683,42.10526315789473,31.57894736842105
78,0.7,1,0,21,20,10.0,7.0,19.047619047619047,14.285714285714285,9.523809523809524,57.14285714285714
79,0.585,1,0,12,11,10.0,5.85,16.666666666666664,25.0,25.0,33.33333333333333
80,0.706,1,0,20,19,10.0,7.06,20.0,35.0,20.0,25.0
81,0.724,1,0,21,20,10.0,7.24,38.095238095238095,14.285714285714285,23.809523809523807,23.809523809523807
82,0.558,1,0,16,15,10.0,5.58,25.0,6.25,37.5,31.25
83,0.695,1,0,22,21,10.0,6.95,13.636363636363635,31.818181818181817,27.27272727272727,27.27272727272727
84,0.658,1,0,18,17,10.0,6.58,5.555555555555555,22.22222222222222,50.0,22.22222222222222
85,0.507,1,0,16,15,10.0,5.07,18.75,18.75,37.5,25.0
86,0.438,1,0,10,9,10.0,4.38,10.0,30.0,30.0,30.0
87,0.64,1,0,21,20,10.0,6.4,23.809523809523807,19.047619047619047,38.095238095238095,19.047619047619047
88,0.733,1,0,25,24,10.0,7.33,16.0,44.0,16.0,24.0
89,0.637,1,0,19,18,10.0,6.37,5.263157894736842,21.052631578947366,31.57894736842105,42.10526315789473
90,0.425,1,0,13,12,10.0,4.25,23.076923076923077,38.46153846153847,15.384615384615385,23.076923076923077
91,0.566,1,0,15,14,10.0,5.66,13.333333333333334,26.666666666666668,40.0,20.0
92,0.564,1,0,18,17,10.0,5.64,22.22222222222222,11.11111111111111,33.33333333333333,33.33333333333333
93,0.72,1,0,23,22,10.0,7.2,8.695652173913043,26.08695652173913,30.434782608695656,34.78260869565217
94,0.438,1,0,12,11,10.0,4.38,0.0,25.0,33.33333333333333,41.66666666666667
95,0.815,1,0,13,12,10.0,8.15,46.15384615384615,0.0,38.46153846153847,15.384615384615385
96,0.522,1,0,19,18,10.0,5.22,31.57894736842105,36.84210526315789,15.789473684210526,15.789473684210526
97,0.56,1,0,17,16,10.0,5.6,11.76470588235294,23.52941176470588,29.411764705882355,35.294117647058826
98,0.71,1,0,13,12,10.0,7.1,15.384615384615385,23.076923076923077,46.15384615384615,15.384615384615385
99,0.762,1,0,26,25,10.0,7.62,38.46153846153847,19.230769230769234,11.538461538461538,30.76923076923077
100,0.73,1,0,23,22,10.0,7.3,21.73913043478261,17.391304347826086,21.73913043478261,39.130434782608695
101,0.494,1,0,13,12,10.0,4.94,15.384615384615385,23.076923076923077,23.076923076923077,38.46153846153847
102,0.508,1,0,17,16,10.0,5.08,23.52941176470588,29.411764705882355,23.52941176470588,23.52941176470588
103,0.702,1,0,29,28,10.0,7.02,3.4482758620689653,27.586206896551722,24.137931034482758,44.827586206896555
104,0.83,1,0,21,20,10.0,8.3,28.57142857142857,19.047619047619047,33.33333333333333,19.047619047619047
105,0.736,1,0,19,18,10.0,7.36,26.31578947368421,36.84210526315789,10.526315789473683,26.31578947368421
106,0.62,1,0,11,10,10.0,6.2,0.0,9.090909090909092,54.54545454545454,36.36363636363637
107,0.6,1,0,13,12,10.0,6.0,23.076923076923077,7.6923076923076925,30.76923076923077,38.46153846153847
108,0.61,1,0,13,12,10.0,6.1,7.6923076923076925,23.076923076923077,30.76923076923077,38.46153846153847
109,0.532,1,0,15,14,9.0,5.32,0.0,20.0,33.33333333333333,46.666666666666664
110,0.586,1,0,18,17,10.0,5.86,16.666666666666664,11.11111111111111,33.33333333333333,38.88888888888889
111,0.562,1,0,23,22,10.0,5.62,43.47826086956522,8.695652173913043,21.73913043478261,26.08695652173913
112,0.73,1,0,29,28,10.0,7.3,27.586206896551722,17.24137931034483,13.793103448275861,41.37931034482759
113,0.476,1,0,16,15,10.0,4.76,18.75,12.5,62.5,6.25
