epoch,train_util,train_q_loss,train_mask_loss,val_cut1_util,val_cut2_util,val_rs_util,avg_val_util,invalid_learned,invalid_attempted,epsilon,lr,train_h_stacking,train_h_best_fit,train_h_semi_perfect_fit,train_h_corner,train_h_complex_fit,val_cut1_h_stacking,val_cut1_h_best_fit,val_cut1_h_semi_perfect_fit,val_cut1_h_corner,val_cut1_h_complex_fit,val_cut2_h_stacking,val_cut2_h_best_fit,val_cut2_h_semi_perfect_fit,val_cut2_h_corner,val_cut2_h_complex_fit,val_rs_h_stacking,val_rs_h_best_fit,val_rs_h_semi_perfect_fit,val_rs_h_corner,val_rs_h_complex_fit
1,0.5838499999999991,7.004973463793355,0.03639509096685137,0.6816480952380958,0.6811909523809518,0.6264490476190473,0.6630960317460316,238945,0,0.8596747714339011,0.0001,0.19851840498633355,0.19370066671775615,0.19779293432446932,0.20562495210360948,0.2043630418678315,0.16641772969481672,0.11496851283707411,0.16157355078314226,0.2776118197965445,0.2794283868884224,0.16662422877289199,0.11256488101067476,0.16576241308392908,0.2865145431397512,0.26853393399275294,0.15109598727240586,0.11682428849213364,0.16835336750928054,0.2865255435743327,0.27720081315184725
2,0.5782771999999975,96.34605379170507,0.0328077987815426,0.7310714285714282,0.7183633333333329,0.6526909523809532,0.7007085714285713,225216,0,0.7392846381500413,0.0001,0.21996498631796735,0.17689610382942894,0.18740534241019402,0.21014883381849359,0.20558473362391608,0.17290345108537508,0.022677452520902443,0.01850666356282372,0.06568507633513744,0.7202273564957613,0.1734194038352003,0.02003037782418834,0.017448262768179228,0.06871084108600721,0.7203911144864249,0.1638896064755016,0.021312322397313357,0.020128304486351504,0.06628347541548264,0.7283862912253509
3,0.5747962000000018,12.031110622279133,0.029003069867711364,0.6748185714285723,0.6704514285714276,0.6195471428571426,0.6549390476190474,223030,0,0.635773191197891,0.0001,0.23276873366399803,0.1709337504373418,0.17545123381835395,0.19654139825886519,0.22430488382144106,0.29152391185354876,0.09657996634703103,0.1933423885498814,0.18679425061325441,0.23175948263628438,0.2866381867805862,0.09196629880147146,0.1927534512084174,0.1902812388750445,0.23836082433448044,0.2713983757926354,0.09987762821225943,0.17999777505840472,0.19684058293469797,0.2518856380020024
4,0.5682558999999969,140.0813352338749,0.027450243878249066,0.686724761904762,0.6809809523809507,0.6284052380952398,0.6653703174603175,213166,0,0.5467713736847205,0.0001,0.2123318176639357,0.17267237718416936,0.17918733880907745,0.18659823712803092,0.24921022921478658,0.2715564946171647,0.1218633665358688,0.10582553576818593,0.19205151423684474,0.3087030888419358,0.2746787010693613,0.12008240949671344,0.10279603649563426,0.18677523790836847,0.3156676150299225,0.2626710816777042,0.1254525386313466,0.11108167770419426,0.19768211920529802,0.303112582781457
5,0.5765935999999988,660.2405488947181,0.03153487382853909,0.7151419047619052,0.7067333333333325,0.6448399999999999,0.6889050793650792,228319,0,0.47016543349857154,0.0001,0.1920869967607589,0.15581777983443879,0.15818808164944212,0.22289577870327523,0.27101136305208495,0.123541658482932,0.09759594610519699,0.06069057626586008,0.2134972699061162,0.5046745492398947,0.12740283160035298,0.09810842957449258,0.06328895368913785,0.21465295629820053,0.49654682883781603,0.13803574527155996,0.11502255769564462,0.07123026201631096,0.22093527676557348,0.454776158250911
6,0.5795000999999985,288.15905479229286,0.032911275373784715,0.7104566666666653,0.709028571428571,0.6461842857142848,0.6885565079365069,233240,0,0.404268186780907,5e-05,0.15508386308946592,0.14142564686687087,0.1374390074961134,0.32586287397191394,0.24018860857563584,0.11533307055577453,0.0607016160819866,0.0602089081592432,0.6412297989751675,0.12252660622782814,0.11060446402912157,0.05780247150110164,0.06324360570935914,0.6499856308075486,0.11836382795286905,0.12285831871250028,0.07418718998418784,0.07286589988519938,0.5942989581302662,0.1357896332878463
7,0.5847855999999984,202.4828572565626,0.03287132460452962,0.7159204761904757,0.7072695238095211,0.6469828571428575,0.6900576190476181,234701,0,0.3475495874782968,5e-05,0.14087971201243582,0.1269252009572314,0.1291648769712217,0.4397793049845575,0.1632509050745536,0.27517608051637205,0.0725118204469208,0.06403641286221577,0.45879029251927567,0.12948539365521572,0.277478169081662,0.0722195566644276,0.06314173303905575,0.45550331062278093,0.1316572305920737,0.2576842378490623,0.08682485777941208,0.06973675672168025,0.4419545326728818,0.1437996149769635
8,0.5842645999999984,125.23155126097248,0.03210718139315439,0.7325361904761911,0.7200733333333322,0.6532480952380932,0.7019525396825389,233676,0,0.2987572043786806,5e-05,0.18748242128571355,0.14416335547612108,0.15423244301939668,0.34408255731300086,0.17003922290576787,0.20557206970915662,0.1307920965203707,0.07171028346058946,0.48368984476695615,0.10823570554292708,0.19480642832719122,0.13012423540139054,0.07463622202803845,0.49150868128110636,0.10892443296227347,0.18591506919969053,0.1402905527379008,0.08628470729820338,0.4638958136336285,0.1236138571305768
9,0.5793285999999979,100.34564852351023,0.031608168246861634,0.7307638095238091,0.7200709523809529,0.6532123809523802,0.7013490476190474,231106,0,0.25695348788047667,5e-05,0.19698638699463575,0.15201274714239604,0.1499889845835404,0.33810155701630795,0.16291032426311988,0.13992457524979587,0.10285369931184635,0.12101006959293963,0.5277594183740912,0.10845223747132693,0.1383395451433787,0.10633604624629193,0.12090210694455009,0.5277439720088233,0.10667832965695596,0.12981687812627465,0.12434254309697086,0.13576350872673407,0.48382387668792,0.12625319336210042
10,0.5829946000000026,82.86684377391616,0.031052894155556694,0.7313771428571437,0.7166709523809536,0.6510980952380961,0.6997153968253979,231148,0,0.22091631268535658,5e-05,0.15644159241396224,0.1497843946701545,0.13704222185890624,0.3566837652252105,0.20004802583176653,0.12174587778855481,0.1162560620756547,0.07439379243452958,0.5134044616876818,0.17419980601357904,0.11613712851520164,0.11480615291008309,0.07829939345540281,0.5097826706976214,0.1809746544216911,0.12365406150400551,0.125979843225084,0.08932724610216211,0.4490481522956327,0.2119906968731157
