episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height
144,0.75,75,0,100,25,10.0,7.5
145,0.847,71,0,100,29,10.0,8.47
146,0.817,76,0,100,24,10.0,8.17
147,0.739,78,0,100,22,10.0,7.39
148,0.833,77,0,100,23,10.0,8.33
149,0.889,72,0,100,28,10.0,8.89
150,0.837,71,0,100,29,10.0,8.37
151,0.89,78,0,100,22,10.0,8.9
152,0.727,75,0,100,25,10.0,7.27
153,0.822,78,0,100,22,10.0,8.22
154,0.848,79,0,100,21,10.0,8.48
155,0.804,79,0,100,21,10.0,8.04
156,0.778,74,0,100,26,10.0,7.78
157,0.747,76,0,100,24,10.0,7.47
158,0.864,72,0,100,28,10.0,8.64
159,0.816,74,0,100,26,10.0,8.16
160,0.832,74,0,100,26,10.0,8.32
161,0.863,73,0,100,27,10.0,8.63
162,0.825,76,0,100,24,10.0,8.25
163,0.723,79,0,100,21,10.0,7.23
164,0.739,80,0,100,20,10.0,7.39
165,0.802,78,0,100,22,10.0,8.02
166,0.766,78,0,100,22,10.0,7.66
167,0.825,77,0,100,23,10.0,8.25
168,0.722,77,0,100,23,10.0,7.22
169,0.77,78,0,100,22,10.0,7.7
170,0.832,76,0,100,24,10.0,8.32
171,0.813,76,0,100,24,10.0,8.13
172,0.764,75,0,100,25,10.0,7.64
173,0.86,73,0,100,27,10.0,8.6
174,0.911,74,0,100,26,10.0,9.11
175,0.806,78,0,100,22,10.0,8.06
176,0.803,79,0,100,21,10.0,8.03
177,0.77,78,0,100,22,10.0,7.7
178,0.827,71,0,100,29,10.0,8.27
179,0.766,83,0,100,17,10.0,7.66
180,0.783,79,0,100,21,10.0,7.83
181,0.778,76,0,100,24,10.0,7.78
182,0.7,78,0,100,22,10.0,7.0
183,0.775,84,0,100,16,10.0,7.75
184,0.827,70,0,100,30,10.0,8.27
185,0.711,79,0,100,21,10.0,7.11
186,0.763,74,0,100,26,10.0,7.63
187,0.738,76,0,100,24,10.0,7.38
188,0.78,76,0,100,24,10.0,7.8
189,0.875,71,0,100,29,10.0,8.75
190,0.835,76,0,100,24,10.0,8.35
191,0.791,73,0,100,27,10.0,7.91
192,0.81,79,0,100,21,10.0,8.1
193,0.777,79,0,100,21,10.0,7.77
194,0.718,80,0,100,20,10.0,7.18
195,0.844,74,0,100,26,10.0,8.44
196,0.815,76,0,100,24,10.0,8.15
197,0.795,81,0,100,19,10.0,7.95
198,0.83,79,0,100,21,10.0,8.3
199,0.862,68,0,100,32,10.0,8.62
200,0.829,69,0,100,31,10.0,8.29
201,0.815,78,0,100,22,10.0,8.15
202,0.82,79,0,100,21,10.0,8.2
203,0.879,72,0,100,28,10.0,8.79
204,0.725,82,0,100,18,10.0,7.25
205,0.681,81,0,100,19,10.0,6.81
206,0.832,78,0,100,22,10.0,8.32
207,0.822,73,0,100,27,10.0,8.22
208,0.842,75,0,100,25,10.0,8.42
209,0.829,74,0,100,26,10.0,8.29
210,0.75,77,0,100,23,10.0,7.5
211,0.827,76,0,100,24,10.0,8.27
212,0.786,73,0,100,27,10.0,7.86
213,0.892,74,0,100,26,10.0,8.92
214,0.794,78,0,100,22,10.0,7.94
215,0.799,74,0,100,26,10.0,7.99
216,0.802,82,0,100,18,10.0,8.02
217,0.897,75,0,100,25,10.0,8.97
218,0.8,76,0,100,24,10.0,8.0
219,0.799,75,0,100,25,10.0,7.99
220,0.883,80,0,100,20,10.0,8.83
221,0.791,75,0,100,25,10.0,7.91
222,0.767,77,0,100,23,10.0,7.67
223,0.87,79,0,100,21,10.0,8.7
224,0.833,79,0,100,21,10.0,8.33
225,0.798,77,0,100,23,10.0,7.98
226,0.783,76,0,100,24,10.0,7.83
227,0.858,76,0,100,24,10.0,8.58
228,0.666,78,0,100,22,10.0,6.66
229,0.761,75,0,100,25,10.0,7.61
230,0.859,81,0,100,19,10.0,8.59
231,0.782,79,0,100,21,10.0,7.82
232,0.82,76,0,100,24,10.0,8.2
