buffer_size,cut1,cut2,rs,avg
1,0.704771904761906,0.6954414285714283,0.7395319047619037,0.7132484126984125
2,0.7072609523809523,0.6984338095238072,0.7439476190476191,0.7165474603174595
3,0.7079814285714302,0.700465714285715,0.7440914285714278,0.7175128571428577
4,0.7016923809523815,0.6928419047619037,0.7462814285714295,0.7136052380952383
