epoch,train_util,train_q_loss,train_mask_loss,val_cut1_util,val_cut2_util,val_rs_util,avg_val_util,invalid_learned,invalid_attempted,epsilon,lr,train_h_stacking,train_h_best_fit,train_h_semi_perfect_fit,train_h_corner,val_cut1_h_stacking,val_cut1_h_best_fit,val_cut1_h_semi_perfect_fit,val_cut1_h_corner,val_cut2_h_stacking,val_cut2_h_best_fit,val_cut2_h_semi_perfect_fit,val_cut2_h_corner,val_rs_h_stacking,val_rs_h_best_fit,val_rs_h_semi_perfect_fit,val_rs_h_corner
1,0.39346479999999956,0.013521005414978358,0.05474962635326556,0.6417514285714284,0.6228114285714289,0.5269514285714281,0.5971714285714285,94277,0,0.8601907349400699,0.0001,0.24910587101997314,0.24926983736588065,0.24829628718705485,0.25332800442709136,0.31581501954968316,0.2815424025886477,0.19293514898206823,0.20970742887960092,0.30254614037451166,0.29397817593964704,0.19210561767479456,0.21137006601104674,0.2754219843557019,0.3029710443255112,0.20244956772334294,0.21915740359544394
2,0.3945496000000001,0.008838405329713453,0.04882997337398913,0.6341180952380949,0.6188247619047617,0.5253238095238103,0.5927555555555557,91867,0,0.7395064584765277,0.0001,0.25226103828109764,0.2405067189537116,0.25030027409635464,0.25693196866883616,0.2675898917754818,0.2556770166016956,0.2162582122509064,0.26047487937191616,0.26075290674038537,0.2638154863539041,0.20302463614928043,0.27240697075643006,0.25705329153605017,0.28760894278135657,0.17916566192428263,0.27617210375831064
3,0.39322229999999986,0.011540215768524367,0.046709445388442704,0.622189047619048,0.6190480952380952,0.5198547619047617,0.587030634920635,88990,0,0.6359544137395402,0.0001,0.24513482672478487,0.24563856363019543,0.23932643179505103,0.26990017784996867,0.21020629147347086,0.206291473470861,0.2830052475220035,0.30049698753366466,0.21304018195602728,0.21628939672912378,0.26917036716126935,0.30150005415357956,0.20207001944984718,0.21988746874131704,0.26615031953320367,0.31189219227563214
4,0.392732700000001,0.029437355184889193,0.04429125141226498,0.6142242857142851,0.6109247619047613,0.5195257142857141,0.5815582539682536,84791,0,0.546804181197414,0.0001,0.25212216228481843,0.22917289820841025,0.23557806359782574,0.2831268759089456,0.2125675562151718,0.20744308476379827,0.3188653356108762,0.2611240234101537,0.22111876217387727,0.20076266769087267,0.30564319223066583,0.27247537790458426,0.2252433936022253,0.2000347705146036,0.30100834492350487,0.2737134909596662
5,0.38912420000000386,0.12261124804658623,0.04233970397489026,0.5971085714285705,0.5931757142857139,0.5130085714285716,0.5677642857142854,77586,0,0.4702289105927806,0.0001,0.24430055308242277,0.23131920015772706,0.24679098050202866,0.2775892662578215,0.19275345688220782,0.24476447300476217,0.23501061449308625,0.3274714556199438,0.19538517748236417,0.2336359292881032,0.23040386723251174,0.3405750259970209,0.1873900499612976,0.23330518612342552,0.23309408204911689,0.34621068186616
6,0.3799803000000006,2.5546686665268683,0.05082550275055762,0.5528895238095239,0.5545314285714281,0.49160857142857106,0.5330098412698411,64569,0,0.40434702735534117,5e-05,0.22804752885907462,0.23551755880267905,0.24161208748188043,0.2948228248563659,0.3004344367619164,0.21321054885883864,0.22609068102551552,0.26026433335372945,0.30141113995047586,0.21104448223395686,0.2267370744950625,0.2608073033205048,0.3058243563994888,0.21132006572941392,0.22640131458827825,0.25645426328281906
7,0.3770018000000012,35.913008111116376,0.06033482785379298,0.5789900000000003,0.5837871428571427,0.5018033333333343,0.5548601587301591,64106,0,0.3477633978181176,5e-05,0.20744420047325673,0.19819224455861348,0.22650237694259098,0.3678611780255388,0.1537803727294173,0.13299127152630338,0.17035267751828262,0.5428756782259967,0.15435205307102826,0.1348793320370582,0.1677913759579092,0.5429772389340043,0.13358176866848215,0.12379962734699727,0.19399455353303713,0.5486240504514834
8,0.38531789999999955,651.339607093168,0.05536911125677075,0.5707780952380944,0.5798899999999998,0.5008419047619049,0.550503333333333,82654,0,0.29903966549713984,5e-05,0.14012752190801253,0.18448797545883808,0.1713065237192843,0.5040779789138651,0.1713961068085997,0.122955476482373,0.04260981371288461,0.6630386029961427,0.17569932577822406,0.1168268541098838,0.044469946922966574,0.6630038731889255,0.1480590368800948,0.1414515028548856,0.046827306352569396,0.6636621539124502
9,0.39032540000000215,3647.6200270199784,0.05507401668887436,0.582284285714285,0.5926809523809511,0.5102519047619052,0.5617390476190471,90925,0,0.25716556356774184,5e-05,0.17819877767551526,0.2056442022316212,0.1735866226822887,0.44257039741057486,0.1800656275635767,0.14971287940935193,0.06568615961560999,0.6045353334114614,0.1801753545149559,0.1555918919680866,0.060725663217839926,0.6035070902991176,0.15872511647606946,0.15861922914019483,0.08813355922631654,0.5945220951574192
10,0.39070060000000234,9988.668198258736,0.05465642445333252,0.5944966666666663,0.5947609523809518,0.5151152380952381,0.5681242857142853,91698,0,0.22115171565372338,5e-05,0.1963229515655375,0.20144145262025892,0.17950945113124042,0.42272614468296316,0.31599607458292445,0.10483172660624603,0.141430468163713,0.4377417306471165,0.31961829918607915,0.09755823744035924,0.1415660959865282,0.4412573673870334,0.273405484921719,0.128611957549648,0.1593289201779272,0.4386536373507057
