lr,cut1,cut2,rs,avg
0.0001,0.7116,0.7286,0.7154,0.7185333333333332
0.001,0.7448,0.7487999999999999,0.7086,0.7340666666666666
0.005,0.6971999999999999,0.7744000000000001,0.7346,0.7353999999999999
