episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit,perc_corner,avg_q_loss,avg_mask_loss
1,0.592,11,0,18,13,10.0,6.94,5.555555555555555,33.333333333333336,11.11111111111111,16.666666666666668,33.333333333333336,0.0,0.0
2,0.586,8,0,18,14,10.0,6.36,16.666666666666668,11.11111111111111,33.333333333333336,27.77777777777778,11.11111111111111,1521.7852294921875,0.8893571496009827
3,0.612,12,0,18,13,10.0,7.57,11.11111111111111,27.77777777777778,11.11111111111111,22.22222222222222,27.77777777777778,803.6382293701172,0.7754278017414941
4,0.664,9,0,18,14,10.0,6.84,22.22222222222222,16.666666666666668,16.666666666666668,27.77777777777778,16.666666666666668,694.5988515218099,0.7508046560817294
5,0.678,10,0,18,16,10.0,7.47,27.77777777777778,16.666666666666668,5.555555555555555,27.77777777777778,22.22222222222222,596.3051528930664,0.7246564792262183
SUMMARY,0.6264000000000001,50,0,,,,,16.666666666666664,21.111111111111114,15.555555555555557,24.44444444444444,22.22222222222222,,
