episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit
1,0.595,1,0,12,11,10.0,5.95,25.0,33.33333333333333,33.33333333333333,8.333333333333332
2,0.672,1,0,22,21,10.0,6.72,13.636363636363635,27.27272727272727,22.727272727272727,36.36363636363637
3,0.529,1,0,16,15,10.0,5.29,37.5,12.5,25.0,25.0
4,0.562,1,0,17,16,10.0,5.62,11.76470588235294,23.52941176470588,29.411764705882355,35.294117647058826
5,0.63,1,0,18,17,10.0,6.3,27.77777777777778,16.666666666666664,27.77777777777778,27.77777777777778
6,0.628,1,0,22,21,10.0,6.28,31.818181818181817,27.27272727272727,13.636363636363635,27.27272727272727
7,0.516,1,0,13,12,10.0,5.16,30.76923076923077,15.384615384615385,30.76923076923077,23.076923076923077
8,0.62,1,0,15,14,10.0,6.2,13.333333333333334,40.0,13.333333333333334,33.33333333333333
9,0.475,1,0,10,9,10.0,4.75,40.0,30.0,10.0,20.0
10,0.676,1,0,25,24,10.0,6.76,16.0,28.000000000000004,24.0,32.0
11,0.55,1,0,13,12,10.0,5.5,7.6923076923076925,30.76923076923077,30.76923076923077,30.76923076923077
12,0.83,1,0,11,10,10.0,8.3,9.090909090909092,9.090909090909092,36.36363636363637,45.45454545454545
13,0.7,1,0,13,12,10.0,7.0,38.46153846153847,23.076923076923077,38.46153846153847,0.0
14,0.698,1,0,20,19,10.0,6.98,30.0,20.0,20.0,30.0
15,0.623,1,0,20,19,10.0,6.23,15.0,20.0,50.0,15.0
16,0.46,1,0,14,13,10.0,4.6,35.714285714285715,0.0,42.857142857142854,21.428571428571427
17,0.548,1,0,17,16,10.0,5.48,29.411764705882355,29.411764705882355,17.647058823529413,23.52941176470588
18,0.721,1,0,21,20,10.0,7.21,42.857142857142854,28.57142857142857,14.285714285714285,14.285714285714285
19,0.39,1,0,21,20,10.0,3.9,23.809523809523807,23.809523809523807,19.047619047619047,33.33333333333333
20,0.422,1,0,11,10,10.0,4.22,18.181818181818183,27.27272727272727,18.181818181818183,36.36363636363637
21,0.78,1,0,15,14,10.0,7.8,40.0,40.0,13.333333333333334,6.666666666666667
22,0.453,1,0,13,12,10.0,4.53,38.46153846153847,23.076923076923077,38.46153846153847,0.0
23,0.49,1,0,16,15,10.0,4.9,25.0,37.5,31.25,6.25
24,0.487,1,0,12,11,10.0,4.87,25.0,33.33333333333333,8.333333333333332,33.33333333333333
25,0.74,1,0,17,16,10.0,7.4,17.647058823529413,29.411764705882355,23.52941176470588,29.411764705882355
26,0.47,1,0,14,13,10.0,4.7,35.714285714285715,21.428571428571427,21.428571428571427,21.428571428571427
27,0.75,1,0,14,13,10.0,7.5,7.142857142857142,35.714285714285715,28.57142857142857,28.57142857142857
28,0.6,1,0,20,19,10.0,6.0,30.0,25.0,25.0,20.0
29,0.54,1,0,21,20,10.0,5.4,19.047619047619047,28.57142857142857,19.047619047619047,33.33333333333333
30,0.76,1,0,18,17,10.0,7.6,44.44444444444444,11.11111111111111,16.666666666666664,27.77777777777778
31,0.72,1,0,24,23,10.0,7.2,16.666666666666664,29.166666666666668,29.166666666666668,25.0
32,0.408,1,0,15,14,10.0,4.08,26.666666666666668,33.33333333333333,13.333333333333334,26.666666666666668
33,0.48,1,0,12,11,10.0,4.8,33.33333333333333,33.33333333333333,16.666666666666664,16.666666666666664
34,0.299,1,0,10,9,9.0,2.99,30.0,30.0,20.0,20.0
35,0.6,1,0,16,15,10.0,6.0,25.0,25.0,12.5,37.5
36,0.681,1,0,19,18,10.0,6.81,31.57894736842105,5.263157894736842,21.052631578947366,42.10526315789473
37,0.552,1,0,21,20,10.0,5.52,33.33333333333333,19.047619047619047,14.285714285714285,33.33333333333333
38,0.6,1,0,19,18,10.0,6.0,21.052631578947366,10.526315789473683,31.57894736842105,36.84210526315789
39,0.456,1,0,12,11,10.0,4.56,41.66666666666667,33.33333333333333,8.333333333333332,16.666666666666664
40,0.47,1,0,14,13,10.0,4.7,21.428571428571427,21.428571428571427,21.428571428571427,35.714285714285715
41,0.62,1,0,13,12,10.0,6.2,38.46153846153847,15.384615384615385,38.46153846153847,7.6923076923076925
42,0.353,1,0,10,9,10.0,3.53,20.0,20.0,20.0,40.0
43,0.571,1,0,14,13,10.0,5.71,28.57142857142857,7.142857142857142,42.857142857142854,21.428571428571427
44,0.678,1,0,23,22,10.0,6.78,21.73913043478261,30.434782608695656,21.73913043478261,26.08695652173913
45,0.47,1,0,16,15,10.0,4.7,12.5,43.75,18.75,25.0
46,0.47,1,0,19,18,10.0,4.7,21.052631578947366,36.84210526315789,21.052631578947366,21.052631578947366
47,0.624,1,0,15,14,10.0,6.24,20.0,33.33333333333333,6.666666666666667,40.0
48,0.32,1,0,13,12,10.0,3.2,30.76923076923077,30.76923076923077,23.076923076923077,15.384615384615385
49,0.34,1,0,9,8,9.0,3.4,33.33333333333333,22.22222222222222,11.11111111111111,33.33333333333333
50,0.64,1,0,24,23,10.0,6.4,33.33333333333333,12.5,25.0,29.166666666666668
51,0.458,1,0,15,14,10.0,4.58,26.666666666666668,13.333333333333334,13.333333333333334,46.666666666666664
52,0.876,1,0,24,23,10.0,8.76,33.33333333333333,16.666666666666664,33.33333333333333,16.666666666666664
53,0.652,1,0,16,15,10.0,6.52,25.0,6.25,43.75,25.0
54,0.6,1,0,14,13,10.0,6.0,21.428571428571427,21.428571428571427,14.285714285714285,42.857142857142854
55,0.386,1,0,11,10,10.0,3.86,18.181818181818183,9.090909090909092,45.45454545454545,27.27272727272727
56,0.545,1,0,19,18,10.0,5.45,21.052631578947366,15.789473684210526,42.10526315789473,21.052631578947366
57,0.668,1,0,15,14,10.0,6.68,13.333333333333334,33.33333333333333,20.0,33.33333333333333
58,0.48,1,0,14,13,10.0,4.8,28.57142857142857,7.142857142857142,28.57142857142857,35.714285714285715
59,0.596,1,0,19,18,10.0,5.96,21.052631578947366,5.263157894736842,36.84210526315789,36.84210526315789
60,0.71,1,0,17,16,10.0,7.1,23.52941176470588,5.88235294117647,35.294117647058826,35.294117647058826
61,0.364,1,0,10,9,9.0,3.64,50.0,10.0,10.0,30.0
62,0.546,1,0,15,14,10.0,5.46,33.33333333333333,13.333333333333334,20.0,33.33333333333333
63,0.424,1,0,11,10,10.0,4.24,9.090909090909092,27.27272727272727,45.45454545454545,18.181818181818183
64,0.62,1,0,12,11,9.0,6.2,0.0,33.33333333333333,16.666666666666664,50.0
65,0.442,1,0,15,14,10.0,4.42,20.0,40.0,26.666666666666668,13.333333333333334
66,0.785,1,0,15,14,10.0,7.85,6.666666666666667,40.0,33.33333333333333,20.0
67,0.814,1,0,19,18,10.0,8.14,31.57894736842105,31.57894736842105,26.31578947368421,10.526315789473683
68,0.632,1,0,17,16,10.0,6.32,17.647058823529413,35.294117647058826,35.294117647058826,11.76470588235294
69,0.555,1,0,11,10,10.0,5.55,36.36363636363637,9.090909090909092,27.27272727272727,27.27272727272727
70,0.38,1,0,11,10,10.0,3.8,9.090909090909092,45.45454545454545,0.0,45.45454545454545
71,0.621,1,0,19,18,10.0,6.21,36.84210526315789,21.052631578947366,15.789473684210526,26.31578947368421
72,0.61,1,0,16,15,10.0,6.1,12.5,50.0,31.25,6.25
73,0.778,1,0,21,20,10.0,7.78,19.047619047619047,33.33333333333333,23.809523809523807,23.809523809523807
74,0.68,1,0,16,15,10.0,6.8,31.25,37.5,6.25,25.0
75,0.65,1,0,12,11,10.0,6.5,41.66666666666667,8.333333333333332,33.33333333333333,16.666666666666664
76,0.516,1,0,19,18,10.0,5.16,15.789473684210526,21.052631578947366,21.052631578947366,42.10526315789473
77,0.73,1,0,14,13,10.0,7.3,7.142857142857142,14.285714285714285,42.857142857142854,35.714285714285715
78,0.529,1,0,13,12,10.0,5.29,7.6923076923076925,30.76923076923077,30.76923076923077,30.76923076923077
79,0.656,1,0,26,25,10.0,6.56,30.76923076923077,19.230769230769234,23.076923076923077,26.923076923076923
80,0.42,1,0,14,13,10.0,4.2,57.14285714285714,14.285714285714285,14.285714285714285,14.285714285714285
81,0.76,1,0,16,15,10.0,7.6,31.25,18.75,31.25,18.75
82,0.51,1,0,12,11,10.0,5.1,8.333333333333332,8.333333333333332,8.333333333333332,75.0
83,0.744,1,0,21,20,10.0,7.44,14.285714285714285,9.523809523809524,38.095238095238095,38.095238095238095
84,0.434,1,0,14,13,10.0,4.34,35.714285714285715,21.428571428571427,35.714285714285715,7.142857142857142
85,0.676,1,0,17,16,10.0,6.76,29.411764705882355,17.647058823529413,41.17647058823529,11.76470588235294
86,0.594,1,0,18,17,10.0,5.94,33.33333333333333,33.33333333333333,5.555555555555555,27.77777777777778
87,0.755,1,0,12,11,10.0,7.55,25.0,8.333333333333332,50.0,16.666666666666664
88,0.624,1,0,20,19,10.0,6.24,45.0,20.0,10.0,25.0
89,0.384,1,0,11,10,10.0,3.84,18.181818181818183,9.090909090909092,18.181818181818183,54.54545454545454
90,0.4,1,0,7,6,10.0,4.0,57.14285714285714,0.0,14.285714285714285,28.57142857142857
91,0.46,1,0,15,14,10.0,4.6,26.666666666666668,40.0,20.0,13.333333333333334
92,0.683,1,0,17,16,10.0,6.83,23.52941176470588,17.647058823529413,29.411764705882355,29.411764705882355
93,0.592,1,0,19,18,10.0,5.92,31.57894736842105,5.263157894736842,21.052631578947366,42.10526315789473
94,0.481,1,0,19,18,10.0,4.81,15.789473684210526,15.789473684210526,47.368421052631575,21.052631578947366
95,0.568,1,0,18,17,10.0,5.68,38.88888888888889,16.666666666666664,16.666666666666664,27.77777777777778
96,0.635,1,0,11,10,9.0,6.35,27.27272727272727,9.090909090909092,36.36363636363637,27.27272727272727
97,0.756,1,0,19,18,10.0,7.56,10.526315789473683,31.57894736842105,26.31578947368421,31.57894736842105
98,0.532,1,0,13,12,10.0,5.32,15.384615384615385,23.076923076923077,38.46153846153847,23.076923076923077
99,0.624,1,0,22,21,10.0,6.24,13.636363636363635,31.818181818181817,18.181818181818183,36.36363636363637
100,0.556,1,0,14,13,10.0,5.56,28.57142857142857,21.428571428571427,21.428571428571427,28.57142857142857
101,0.552,1,0,18,17,10.0,5.52,5.555555555555555,33.33333333333333,22.22222222222222,38.88888888888889
102,0.488,1,0,19,18,10.0,4.88,26.31578947368421,47.368421052631575,5.263157894736842,21.052631578947366
103,0.466,1,0,20,19,10.0,4.66,10.0,50.0,15.0,25.0
104,0.384,1,0,9,8,10.0,3.84,0.0,44.44444444444444,11.11111111111111,44.44444444444444
105,0.534,1,0,19,18,10.0,5.34,21.052631578947366,57.89473684210527,10.526315789473683,10.526315789473683
106,0.52,1,0,26,25,10.0,5.2,30.76923076923077,23.076923076923077,23.076923076923077,23.076923076923077
107,0.442,1,0,13,12,10.0,4.42,23.076923076923077,46.15384615384615,7.6923076923076925,23.076923076923077
108,0.51,1,0,16,15,10.0,5.1,12.5,56.25,12.5,18.75
109,0.52,1,0,12,11,10.0,5.2,0.0,33.33333333333333,16.666666666666664,50.0
110,0.904,1,0,18,17,10.0,9.04,16.666666666666664,33.33333333333333,11.11111111111111,38.88888888888889
111,0.5,1,0,12,11,10.0,5.0,41.66666666666667,25.0,16.666666666666664,16.666666666666664
112,0.522,1,0,17,16,10.0,5.22,23.52941176470588,41.17647058823529,11.76470588235294,23.52941176470588
113,0.522,1,0,16,15,10.0,5.22,31.25,18.75,6.25,43.75
114,0.736,1,0,27,26,10.0,7.36,14.814814814814813,37.03703703703704,18.51851851851852,29.629629629629626
115,0.676,1,0,22,21,10.0,6.76,27.27272727272727,9.090909090909092,9.090909090909092,54.54545454545454
116,0.55,1,0,18,17,10.0,5.5,11.11111111111111,16.666666666666664,11.11111111111111,61.111111111111114
117,0.61,1,0,13,12,10.0,6.1,0.0,46.15384615384615,15.384615384615385,38.46153846153847
118,0.385,1,0,12,11,10.0,3.85,8.333333333333332,25.0,8.333333333333332,58.333333333333336
119,0.694,1,0,19,18,10.0,6.94,10.526315789473683,36.84210526315789,21.052631578947366,31.57894736842105
120,0.552,1,0,17,16,10.0,5.52,35.294117647058826,35.294117647058826,5.88235294117647,23.52941176470588
121,0.624,1,0,16,15,10.0,6.24,31.25,6.25,6.25,56.25
122,0.608,1,0,20,19,10.0,6.08,20.0,30.0,15.0,35.0
123,0.496,1,0,13,12,10.0,4.96,30.76923076923077,23.076923076923077,23.076923076923077,23.076923076923077
124,0.59,1,0,15,14,10.0,5.9,26.666666666666668,46.666666666666664,20.0,6.666666666666667
125,0.666,1,0,20,19,10.0,6.66,25.0,55.00000000000001,5.0,15.0
126,0.854,1,0,24,23,10.0,8.54,33.33333333333333,25.0,20.833333333333336,20.833333333333336
127,0.636,1,0,13,12,10.0,6.36,15.384615384615385,61.53846153846154,0.0,23.076923076923077
128,0.308,1,0,9,8,9.0,3.08,11.11111111111111,55.55555555555556,22.22222222222222,11.11111111111111
129,0.348,1,0,9,8,10.0,3.48,22.22222222222222,55.55555555555556,11.11111111111111,11.11111111111111
130,0.699,1,0,20,19,10.0,6.99,20.0,50.0,15.0,15.0
131,0.56,1,0,12,11,10.0,5.6,8.333333333333332,58.333333333333336,16.666666666666664,16.666666666666664
132,0.454,1,0,14,13,10.0,4.54,0.0,50.0,28.57142857142857,21.428571428571427
133,0.6,1,0,13,12,10.0,6.0,7.6923076923076925,53.84615384615385,7.6923076923076925,30.76923076923077
134,0.464,1,0,18,17,10.0,4.64,27.77777777777778,27.77777777777778,27.77777777777778,16.666666666666664
135,0.537,1,0,14,13,10.0,5.37,14.285714285714285,28.57142857142857,21.428571428571427,35.714285714285715
136,0.62,1,0,18,17,10.0,6.2,0.0,11.11111111111111,22.22222222222222,66.66666666666666
137,0.54,1,0,10,9,10.0,5.4,40.0,0.0,20.0,40.0
138,0.602,1,0,22,21,10.0,6.02,4.545454545454546,27.27272727272727,27.27272727272727,40.909090909090914
139,0.585,1,0,16,15,10.0,5.85,31.25,31.25,12.5,25.0
140,0.65,1,0,13,12,10.0,6.5,23.076923076923077,38.46153846153847,7.6923076923076925,30.76923076923077
141,0.778,1,0,21,20,10.0,7.78,9.523809523809524,52.38095238095239,4.761904761904762,33.33333333333333
142,0.592,1,0,18,17,10.0,5.92,11.11111111111111,66.66666666666666,11.11111111111111,11.11111111111111
143,0.64,1,0,30,29,10.0,6.4,16.666666666666664,50.0,16.666666666666664,16.666666666666664
