buffer_size,lr,cut1,cut2,rs
0,0.005,0.7201033333333334,0.7135580952380943,0.7440347619047603
1,0.005,0.7325338095238089,0.7254419047619041,0.7546428571428555
2,0.005,0.7437328571428568,0.730232380952381,0.7631176190476192
3,0.005,0.7019490476190474,0.692457142857143,0.7411290476190479
4,0.005,0.710979999999998,0.7007580952380941,0.7458790476190468
