episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height,perc_stacking,perc_best_fit,perc_semi_perfect_fit,perc_random_fit
83,0.788,162,0,100,23,10.0,9.25,19.0,12.0,29.0,40.0
84,0.737,156,0,100,24,10.0,8.02,19.0,14.0,30.0,37.0
85,0.849,158,0,100,23,10.0,8.92,25.0,18.0,22.0,35.0
86,0.822,161,0,100,22,10.0,8.49,18.0,12.0,32.0,38.0
87,0.799,157,0,100,24,10.0,9.12,16.0,9.0,20.0,55.0
88,0.711,163,0,100,20,10.0,7.66,17.0,26.0,19.0,38.0
89,0.777,157,0,100,24,10.0,8.84,26.0,13.0,17.0,44.0
90,0.788,162,0,100,22,10.0,9.11,19.0,17.0,25.0,39.0
91,0.712,161,0,100,21,10.0,8.24,17.0,12.0,44.0,27.0
92,0.777,152,0,100,27,10.0,8.7,22.0,13.0,26.0,39.0
93,0.755,151,0,100,26,10.0,8.51,30.0,12.0,41.0,17.0
94,0.808,164,0,100,21,10.0,8.92,23.0,15.0,17.0,45.0
95,0.687,156,0,100,22,10.0,7.92,20.0,15.0,39.0,26.0
96,0.599,161,0,100,21,10.0,7.03,17.0,11.0,51.0,21.0
97,0.73,163,0,100,22,10.0,8.29,23.0,6.0,33.0,38.0
98,0.757,160,0,100,23,10.0,8.17,10.0,18.0,59.0,13.0
99,0.716,163,0,100,21,10.0,7.64,19.0,9.0,40.0,32.0
100,0.62,169,0,100,17,10.0,7.42,11.0,11.0,46.0,32.0
101,0.704,155,0,100,24,10.0,8.13,19.0,11.0,30.0,40.0
102,0.81,175,0,100,14,10.0,8.85,16.0,14.0,10.0,60.0
103,0.754,165,0,100,19,10.0,7.87,20.0,17.0,29.0,34.0
104,0.728,170,0,100,17,10.0,8.16,16.0,14.0,21.0,49.0
105,0.787,153,0,100,26,10.0,8.35,12.0,18.0,48.0,22.0
106,0.69,160,0,100,22,10.0,7.72,22.0,25.0,38.0,15.0
107,0.681,154,0,100,24,10.0,7.75,15.0,23.0,42.0,20.0
108,0.787,162,0,100,21,10.0,9.05,22.0,19.0,17.0,42.0
109,0.747,158,0,100,23,10.0,8.19,40.0,12.0,24.0,24.0
110,0.722,164,0,100,21,10.0,8.04,11.0,16.0,30.0,43.0
111,0.733,164,0,100,20,10.0,8.2,23.0,17.0,17.0,43.0
112,0.794,148,0,100,29,10.0,8.55,18.0,16.0,22.0,44.0
113,0.802,163,0,100,22,10.0,8.8,18.0,10.0,31.0,41.0
114,0.666,159,0,100,21,10.0,7.17,24.0,14.0,41.0,21.0
115,0.796,167,0,100,19,10.0,8.78,23.0,13.0,10.0,54.0
116,0.728,159,0,100,22,10.0,8.07,8.0,20.0,50.0,22.0
117,0.709,155,0,100,26,10.0,8.55,17.0,12.0,34.0,37.0
118,0.784,157,0,100,25,10.0,8.68,11.0,12.0,29.0,48.0
119,0.747,159,0,100,22,10.0,8.28,19.0,19.0,33.0,29.0
120,0.771,160,0,100,22,10.0,8.62,20.0,13.0,15.0,52.0
121,0.711,159,0,100,23,10.0,7.91,14.0,12.0,26.0,48.0
122,0.794,157,0,100,23,10.0,8.72,24.0,13.0,23.0,40.0
123,0.726,160,0,100,21,10.0,8.06,13.0,10.0,28.0,49.0
124,0.783,167,0,100,18,10.0,8.58,9.0,16.0,27.0,48.0
125,0.8,172,0,100,17,10.0,9.18,14.0,15.0,20.0,51.0
126,0.679,168,0,100,18,10.0,7.48,15.0,12.0,32.0,41.0
127,0.673,163,0,100,20,10.0,7.33,15.0,11.0,21.0,53.0
128,0.651,176,0,100,13,10.0,7.27,14.0,11.0,19.0,56.0
129,0.786,162,0,100,24,10.0,8.6,13.0,20.0,15.0,52.0
130,0.715,153,0,100,26,10.0,7.83,16.0,39.0,24.0,21.0
131,0.746,157,0,100,24,10.0,8.85,18.0,21.0,48.0,13.0
132,0.814,155,0,100,24,10.0,8.81,25.0,11.0,27.0,37.0
133,0.683,151,0,100,26,10.0,8.64,27.0,12.0,30.0,31.0
134,0.814,145,0,100,30,10.0,8.54,20.0,15.0,44.0,21.0
135,0.775,163,0,100,20,10.0,8.37,22.0,12.0,22.0,44.0
136,0.798,158,0,100,24,10.0,8.83,14.0,16.0,22.0,48.0
137,0.722,170,0,100,16,10.0,8.1,20.0,21.0,21.0,38.0
138,0.768,167,0,100,19,10.0,8.43,23.0,23.0,21.0,33.0
139,0.726,168,0,100,18,10.0,8.3,13.0,13.0,54.0,20.0
140,0.682,166,0,100,19,10.0,7.53,14.0,10.0,62.0,14.0
141,0.773,169,0,100,17,10.0,8.39,21.0,43.0,23.0,13.0
142,0.74,152,0,100,28,10.0,8.44,49.0,13.0,19.0,19.0
143,0.724,156,0,100,24,10.0,8.35,12.0,31.0,37.0,20.0
144,0.704,157,0,100,24,10.0,7.66,33.0,15.0,45.0,7.0
145,0.739,157,0,100,25,10.0,8.53,23.0,15.0,24.0,38.0
146,0.659,165,0,100,19,10.0,8.06,26.0,16.0,12.0,46.0
147,0.68,167,0,100,19,10.0,9.02,14.0,13.0,16.0,57.0
148,0.816,160,0,100,22,10.0,9.0,14.0,15.0,17.0,54.0
149,0.837,153,0,100,27,10.0,9.03,13.0,13.0,32.0,42.0
150,0.745,158,0,100,25,10.0,8.53,14.0,10.0,21.0,55.0
151,0.67,166,0,100,18,10.0,7.3,11.0,11.0,67.0,11.0
152,0.831,147,0,100,30,10.0,8.8,12.0,16.0,35.0,37.0
153,0.782,169,0,100,19,10.0,8.44,6.0,21.0,37.0,36.0
154,0.74,165,0,100,20,10.0,8.44,13.0,12.0,30.0,45.0
155,0.744,167,0,100,19,10.0,7.96,12.0,13.0,22.0,53.0
156,0.588,171,0,100,15,10.0,6.83,14.0,48.0,16.0,22.0
157,0.719,156,0,100,24,10.0,8.75,25.0,10.0,18.0,47.0
158,0.728,152,0,100,27,10.0,8.56,14.0,13.0,26.0,47.0
159,0.732,164,0,100,19,10.0,8.05,12.0,57.0,22.0,9.0
160,0.754,162,0,100,21,10.0,8.04,33.0,13.0,42.0,12.0
161,0.605,166,0,100,18,10.0,7.19,19.0,9.0,43.0,29.0
162,0.79,161,0,100,22,10.0,8.69,25.0,7.0,18.0,50.0
163,0.783,150,0,100,26,10.0,8.29,27.0,14.0,22.0,37.0
164,0.783,162,0,100,23,10.0,8.88,19.0,19.0,27.0,35.0
165,0.716,168,0,100,18,10.0,8.38,13.0,11.0,49.0,27.0
166,0.81,156,0,100,27,10.0,8.97,7.0,6.0,51.0,36.0
167,0.825,157,0,100,24,10.0,8.89,10.0,13.0,59.0,18.0
168,0.734,155,0,100,25,10.0,8.68,13.0,9.0,25.0,53.0
169,0.806,159,0,100,24,10.0,8.34,17.0,8.0,28.0,47.0
170,0.748,163,0,100,21,10.0,8.21,10.0,6.0,35.0,49.0
171,0.681,159,0,100,21,10.0,7.82,16.0,12.0,60.0,12.0
172,0.776,154,0,100,27,10.0,8.16,11.0,6.0,51.0,32.0
173,0.765,155,0,100,24,10.0,8.18,7.0,11.0,69.0,13.0
174,0.675,163,0,100,20,10.0,8.16,16.0,11.0,20.0,53.0
175,0.803,164,0,100,20,10.0,8.58,13.0,5.0,66.0,16.0
176,0.639,169,0,100,16,10.0,7.55,5.0,61.0,18.0,16.0
177,0.766,166,0,101,22,10.0,8.25,11.881188118811881,35.64356435643565,35.64356435643565,16.831683168316832
178,0.749,156,0,100,24,10.0,7.91,11.0,18.0,39.0,32.0
179,0.716,166,0,100,20,10.0,8.25,11.0,8.0,27.0,54.0
180,0.711,161,0,100,21,10.0,7.81,14.0,12.0,63.0,11.0
181,0.761,155,0,100,24,10.0,8.22,13.0,10.0,24.0,53.0
182,0.81,153,0,100,26,10.0,9.02,12.0,13.0,52.0,23.0
183,0.716,164,0,100,19,10.0,8.04,14.0,14.0,18.0,54.0
184,0.755,156,0,100,25,10.0,8.28,19.0,8.0,28.0,45.0
185,0.727,159,0,100,22,10.0,7.78,14.0,10.0,15.0,61.0
186,0.771,156,0,100,24,10.0,8.31,11.0,10.0,26.0,53.0
187,0.678,161,0,100,21,10.0,7.78,12.0,29.0,13.0,46.0
188,0.75,156,0,100,26,10.0,8.78,13.0,14.0,23.0,50.0
189,0.725,158,0,100,22,10.0,7.71,21.0,13.0,58.0,8.0
190,0.686,164,0,100,19,10.0,8.11,8.0,20.0,58.0,14.0
191,0.723,156,0,100,25,10.0,8.63,9.0,6.0,49.0,36.0
192,0.706,173,0,100,16,10.0,7.66,9.0,5.0,62.0,24.0
193,0.712,164,0,100,18,10.0,8.16,34.0,11.0,44.0,11.0
194,0.756,158,0,100,23,10.0,8.42,18.0,44.0,26.0,12.0
195,0.768,160,0,100,23,10.0,9.1,17.0,6.0,25.0,52.0
196,0.777,156,0,100,25,10.0,8.9,17.0,7.0,23.0,53.0
197,0.698,171,0,100,16,10.0,8.19,8.0,14.0,64.0,14.0
198,0.783,168,0,100,18,10.0,8.29,5.0,12.0,13.0,70.0
199,0.784,145,0,100,30,10.0,8.68,20.0,15.0,52.0,13.0
200,0.706,164,0,100,20,10.0,7.91,14.0,9.0,35.0,42.0
201,0.702,159,0,100,22,10.0,7.9,9.0,16.0,17.0,58.0
202,0.818,165,0,101,21,10.0,8.69,14.851485148514852,36.633663366336634,37.62376237623762,10.891089108910892
203,0.664,167,0,100,19,10.0,8.06,23.0,12.0,17.0,48.0
204,0.759,159,0,100,22,10.0,8.53,68.0,10.0,17.0,5.0
205,0.643,167,0,100,17,10.0,7.04,51.0,7.0,34.0,8.0
206,0.753,173,0,100,17,10.0,9.1,9.0,12.0,6.0,73.0
207,0.806,154,0,100,26,10.0,8.72,24.0,7.0,8.0,61.0
208,0.78,164,0,100,21,10.0,8.62,17.0,8.0,9.0,66.0
209,0.791,156,0,100,26,10.0,9.04,11.0,26.0,14.0,49.0
210,0.695,165,0,100,19,10.0,7.77,38.0,7.0,47.0,8.0
211,0.763,162,0,100,22,10.0,8.63,11.0,27.0,21.0,41.0
212,0.772,156,0,100,24,10.0,8.14,50.0,13.0,18.0,19.0
213,0.734,164,0,100,20,10.0,8.22,15.0,10.0,64.0,11.0
214,0.714,165,0,100,19,10.0,7.91,8.0,4.0,77.0,11.0
215,0.799,151,0,100,27,10.0,8.97,24.0,4.0,57.0,15.0
216,0.697,174,0,100,14,10.0,8.08,75.0,14.0,6.0,5.0
217,0.681,167,0,100,17,10.0,7.4,63.0,10.0,12.0,15.0
218,0.725,165,0,100,20,10.0,8.16,7.0,5.0,18.0,70.0
219,0.825,159,0,100,24,10.0,8.79,8.0,20.0,15.0,57.0
220,0.814,159,0,100,24,10.0,8.96,9.0,15.0,17.0,59.0
221,0.741,160,0,100,23,10.0,8.32,8.0,13.0,11.0,68.0
222,0.774,159,0,100,24,10.0,8.44,7.0,14.0,21.0,58.0
223,0.704,168,0,100,17,10.0,7.62,8.0,72.0,11.0,9.0
224,0.856,161,0,100,22,10.0,8.93,16.0,7.0,15.0,62.0
225,0.786,157,0,100,25,10.0,8.78,8.0,33.0,22.0,37.0
226,0.767,159,0,100,23,10.0,7.89,22.0,40.0,23.0,15.0
227,0.743,167,0,100,19,10.0,8.42,12.0,57.0,17.0,14.0
228,0.71,161,0,100,21,10.0,8.01,26.0,5.0,61.0,8.0
229,0.723,160,0,100,22,10.0,8.17,13.0,15.0,19.0,53.0
230,0.61,176,0,100,14,10.0,7.09,11.0,33.0,20.0,36.0
231,0.698,167,0,100,18,10.0,7.59,16.0,39.0,37.0,8.0
232,0.738,158,0,100,23,10.0,8.61,9.0,5.0,32.0,54.0
233,0.785,160,0,100,22,10.0,8.82,12.0,20.0,9.0,59.0
234,0.709,164,0,100,20,10.0,7.72,66.0,8.0,12.0,14.0
235,0.677,159,0,100,22,10.0,7.63,42.0,12.0,21.0,25.0
236,0.744,159,0,100,22,10.0,8.2,7.0,62.0,14.0,17.0
237,0.724,157,0,100,26,10.0,8.59,10.0,12.0,29.0,49.0
238,0.843,162,0,100,23,10.0,9.32,7.0,5.0,21.0,67.0
239,0.746,167,0,100,18,10.0,8.53,8.0,13.0,13.0,66.0
240,0.763,153,0,100,25,10.0,7.91,4.0,48.0,20.0,28.0
241,0.813,163,0,100,21,10.0,8.66,10.0,4.0,18.0,68.0
242,0.728,164,0,100,21,10.0,8.36,5.0,21.0,14.0,60.0
243,0.654,166,0,100,18,10.0,7.12,7.0,13.0,62.0,18.0
244,0.752,158,0,100,23,10.0,8.38,5.0,12.0,67.0,16.0
245,0.692,163,0,100,20,10.0,7.48,7.0,11.0,72.0,10.0
246,0.72,153,0,100,25,10.0,8.53,7.0,7.0,37.0,49.0
247,0.658,157,0,100,22,10.0,7.51,5.0,44.0,15.0,36.0
248,0.791,157,0,100,23,10.0,9.09,12.0,6.0,13.0,69.0
249,0.738,157,0,100,24,10.0,7.96,4.0,29.0,13.0,54.0
250,0.733,165,0,100,20,10.0,8.51,5.0,18.0,12.0,65.0
251,0.824,151,0,100,27,10.0,8.88,8.0,7.0,16.0,69.0
252,0.688,155,0,100,25,10.0,8.18,10.0,5.0,13.0,72.0
253,0.797,161,0,100,22,10.0,8.77,17.0,34.0,15.0,34.0
254,0.694,159,0,100,22,10.0,7.94,16.0,11.0,60.0,13.0
255,0.755,152,0,100,27,10.0,9.0,10.0,9.0,18.0,63.0
256,0.751,152,0,100,26,10.0,7.98,9.0,20.0,30.0,41.0
257,0.76,150,0,100,27,10.0,8.45,4.0,5.0,18.0,73.0
258,0.778,153,0,100,25,10.0,8.39,12.0,10.0,30.0,48.0
259,0.805,159,0,100,24,10.0,8.68,8.0,12.0,19.0,61.0
260,0.759,156,0,100,26,10.0,8.31,7.0,7.0,28.0,58.0
261,0.729,160,0,100,22,10.0,8.0,61.0,16.0,14.0,9.0
262,0.755,168,0,100,18,10.0,8.12,14.0,10.0,8.0,68.0
263,0.8,147,0,100,30,10.0,8.95,14.0,3.0,17.0,66.0
264,0.759,153,0,100,26,10.0,8.49,54.0,9.0,24.0,13.0
265,0.791,164,0,100,21,10.0,8.43,70.0,7.0,16.0,7.0
266,0.754,158,0,100,23,10.0,8.54,29.0,9.0,11.0,51.0
267,0.631,169,0,100,17,10.0,7.38,70.0,10.0,10.0,10.0
268,0.701,158,0,100,22,10.0,8.03,33.0,8.0,13.0,46.0
269,0.784,154,0,100,27,10.0,8.35,30.0,5.0,14.0,51.0
270,0.72,155,0,100,24,10.0,7.88,65.0,17.0,10.0,8.0
271,0.738,169,0,100,18,10.0,8.15,17.0,69.0,12.0,2.0
272,0.708,168,0,100,18,10.0,7.86,7.0,73.0,12.0,8.0
273,0.807,154,0,100,25,10.0,8.67,56.0,7.0,27.0,10.0
274,0.702,152,0,100,26,10.0,7.86,26.0,13.0,18.0,43.0
275,0.721,159,0,100,22,10.0,8.1,64.0,7.0,27.0,2.0
276,0.719,167,0,100,19,10.0,7.81,8.0,60.0,17.0,15.0
277,0.741,163,0,100,20,10.0,7.87,54.0,23.0,15.0,8.0
278,0.756,154,0,100,25,10.0,8.81,48.0,2.0,43.0,7.0
279,0.855,155,0,100,27,10.0,9.19,10.0,10.0,16.0,64.0
280,0.753,161,0,100,23,10.0,8.38,4.0,17.0,13.0,66.0
281,0.78,149,0,100,31,10.0,8.91,14.0,9.0,38.0,39.0
282,0.767,158,0,100,23,10.0,7.98,8.0,5.0,33.0,54.0
283,0.74,157,0,100,24,10.0,7.97,30.0,41.0,19.0,10.0
284,0.742,163,0,100,23,10.0,8.41,16.0,7.0,23.0,54.0
285,0.705,161,0,100,21,10.0,8.29,9.0,5.0,9.0,77.0
286,0.788,153,0,100,25,10.0,8.75,13.0,7.0,10.0,70.0
287,0.83,171,0,100,18,10.0,8.65,11.0,13.0,5.0,71.0
288,0.657,158,0,100,23,10.0,7.77,4.0,38.0,10.0,48.0
289,0.72,170,0,100,17,10.0,8.57,15.0,11.0,15.0,59.0
290,0.653,165,0,100,20,10.0,8.32,9.0,12.0,13.0,66.0
